"","990
004","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
005","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
007","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Individual Research","Course Total","7","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"ITALIAN
508","Dept. Total","628","3.560","50.5","22.3","17.8","4.0","2.1","0.2","0.6","2.1","",".",".",".","",".","0.3",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","87","3.408","37.9","24.1","28.7","4.6","3.4",".","1.1",".","",".",".",".","",".",".",".",".","."
"Sophomore","","196","3.607","53.6","25.5","15.3","2.6","2.6",".","0.5",".","",".",".",".","",".",".",".",".","."
"Junior","","140","3.579","51.4","22.9","20.0","5.0",".",".","0.7",".","",".",".",".","",".",".",".",".","."
"Senior","","134","3.457","42.5","25.4","18.7","6.0","3.7","0.7","0.7","1.5","",".",".",".","",".","0.7",".",".","."
"Undergraduates","","557","3.534","47.9","24.6","19.4","4.3","2.3","0.2","0.7","0.4","",".",".",".","",".","0.2",".",".","."
"Special","","10","3.750","60.0",".",".","10.0",".",".",".","20.0","",".",".",".","",".",".",".","10.0","."
"Graduate","","60","3.897","71.7","5.0","6.7",".",".",".",".","15.0","",".",".",".","",".","1.7",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"","Dept. Total","628","3.560","50.5","22.3","17.8","4.0","2.1","0.2","0.6","2.1","",".",".",".","",".","0.3",".","0.2","."
