"Foundations of US Air Force II","102
002","","15","3.700","46.7","46.7","6.7",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Evolution of US Air & Space II","202
001","","7","3.500","14.3","57.1","14.3",".","","",".",".","",".","",".","",".","",".",".","",".","",".","","14.3",".","."
"Leadership Studies II","304
001","","11","3.682","45.5","45.5","9.1",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Preparation for Active Duty","402
001","","7","3.786","71.4","14.3","14.3",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
102","Dept. Total","","40","3.700","45.0","42.5","10.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".","2.5",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","9","3.778","55.6","44.4",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","8","3.625","25.0","75.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","8","3.563","25.0","50.0","25.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","14","3.750","64.3","21.4","14.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","39","3.700","46.2","43.6","10.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","",".",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".","100.0",".","."
"","Dept. Total","","40","3.700","45.0","42.5","10.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".","2.5",".","."
