"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","36","3.463","61.1","8.3","19.4","5.6","5.6",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","102","3.469","58.8","13.7","19.6","2.0","3.9",".","",".","2.0","",".",".","",".",".",".",".",".","."
"Undergraduates","139","3.471","59.7","12.2","19.4","2.9","4.3",".","",".","1.4","",".",".","",".",".",".",".",".","."
"Special","22","3.465","50.0","13.6","9.1","4.5",".","4.5","",".","18.2","",".",".","",".",".",".",".",".","."
"Graduate","163","3.713","52.8","16.0","8.0","1.2",".","0.6","",".","20.2","",".",".","",".","1.2",".",".",".","."
"Prof Yr 1","174","3.767","69.0","19.0","10.3","1.1","0.6",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","44","3.702","47.7","47.7","4.5",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","5","3.818","80.0",".","20.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","216","3.811","70.4","18.5","6.9",".",".",".","",".","0.5","",".",".","",".",".","3.2",".","0.5","."
"Professionals","439","3.781","67.7","21.4","8.2","0.5","0.2",".","",".","0.2","",".",".","",".",".","1.6",".","0.2","."
