"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","167","3.284","35.3","17.4","27.5","4.8","7.8","2.4","0.6","4.2",".",".",".",".",".",".",".","."
"","202
001","319","2.789","21.6","16.9","10.3","18.8","24.8","4.7","2.5",".",".",".",".",".",".",".",".","0.3"
"","002
202","296","2.774","16.6","18.6","12.5","25.3","19.3","6.8","1.0",".",".",".",".",".",".",".",".","."
"","003
202","325","2.904","16.9","22.2","12.6","28.9","14.5","3.4","0.6","0.6",".",".",".",".",".",".",".","0.3"
"","202
004","118","2.585","16.1","11.9","15.3","16.9","28.8","6.8","4.2",".",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1058","2.797","18.1","18.4","12.2","23.5","20.5","5.1","1.7","0.2",".",".",".",".",".",".",".","0.2"
"","210
001","55","2.573","16.4","1.8","29.1","7.3","38.2","3.6","3.6",".",".",".",".",".",".",".",".","."
"","210
002","58","2.588","22.4",".","27.6","5.2","29.3","10.3","3.4",".",".",".",".",".",".",".",".","1.7"
"","210
003","62","2.597","21.0",".","27.4","16.1","22.6","8.1","4.8",".",".",".",".",".",".",".",".","."
"","210
004","55","2.609","16.4","3.6","27.3","12.7","29.1","10.9",".",".",".",".",".",".",".",".",".","."
"","210
005","54","2.657","18.5","5.6","25.9","11.1","31.5","3.7","3.7",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","284","2.604","19.0","2.1","27.5","10.6","29.9","7.4","3.2",".",".",".",".",".",".",".",".","0.4"
"","225
001","48","2.667","16.7","8.3","20.8","8.3","43.8",".","2.1",".",".",".",".",".",".",".",".","."
"","002
225","42","2.762","21.4",".","28.6","14.3","33.3","2.4",".",".",".",".",".",".",".",".",".","."
"","225
003","36","2.736","16.7","11.1","22.2","25.0","19.4",".","5.6",".",".",".",".",".",".",".",".","."
"","225
004","30","2.767","13.3","6.7","30.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","156","2.728","17.3","6.4","25.0","16.0","32.7","0.6","1.9",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","30","3.550","53.3","16.7","23.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","310
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
000B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Psych: Study Abroad","Course Total","2","***","","","","","","","","","","","","","","","",""
"","311
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","99","3.540","45.5","28.3","18.2","5.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","121","3.614","55.4","23.1","14.9","4.1","2.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","10","2.950","30.0","10.0","20.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","386
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","5","***","","","","","","","","","","","","","","","",""
"","411
028","24","3.063","12.5","20.8","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","411
039","16","3.469","50.0","12.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","411
047","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
060","28","3.393","35.7","25.0","25.0","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"","411
073","23","3.326","21.7","34.8","30.4","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","411
078","24","3.521","41.7","20.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
082","23","3.435","43.5","13.0","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","083
411","7","3.583","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","411
085","23","3.568","43.5","30.4","17.4",".","4.3",".",".",".",".",".",".",".",".","4.3",".","."
"","087
411","24","3.771","70.8","16.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","214","3.493","43.9","21.5","24.8","6.1","2.8",".",".",".",".",".",".",".",".","0.5","0.5","."
"Cognitive Psychology","414
001","114","2.650","12.3","14.9","28.9","14.0","14.9","9.6","4.4","0.9",".",".",".",".",".",".",".","."
