"","966
043","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","966
044","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","","",""
"Research","990
070","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"PEDIAT
708","Dept. Total","104","3.622","37.5","51.0","8.7","1.0","",".","",".","",".","",".","",".",".","",".","",".","1.0",".",".","1.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","9","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","","1","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","100.0",".",".","."
"Graduate","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","76","3.611","31.6","59.2","9.2",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","15","3.469","20.0","53.3","13.3","6.7","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","6.7"
"Professionals","","92","3.598","30.4","57.6","9.8","1.1","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","1.1"
"","Dept. Total","104","3.622","37.5","51.0","8.7","1.0","",".","",".","",".","",".","",".",".","",".","",".","1.0",".",".","1.0"
