"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","001","","209","2.608","7.7","8.6","18.7","39.2","22.0","1.9","1.9",".",".",".",".",".",".",".",".","."
"201","002","","82","2.506","2.4","8.5","28.0","34.1","18.3","4.9","3.7",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","291","2.579","6.2","8.6","21.3","37.8","21.0","2.7","2.4",".",".",".",".",".",".",".",".","."
"202","001","","71","2.380","12.7","9.9","15.5","26.8","15.5","8.5","11.3",".",".",".",".",".",".",".",".","."
"202","002","","60","2.400","6.7","10.0","25.0","30.0","10.0","8.3","10.0",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","","131","2.389","9.9","9.9","19.8","28.2","13.0","8.4","10.7",".",".",".",".",".",".",".",".","."
"303
Mechanics of Materials","001","","110","2.964","20.9","10.0","41.8","2.7","21.8","1.8","0.9",".",".",".",".",".",".",".",".","."
"307","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","005","","8","3.375","37.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"307","006","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","009","","11","3.591","36.4","54.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","49","3.592","53.1","26.5","12.2","2.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","21","3.619","76.2","9.5","4.8",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"471
Intermed Problem Solving-Engrs","001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"519
Fracture Mechanics","001","","18","3.194","22.2","27.8","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"522
Aerodynamics Lab","001","","17","3.471","29.4","35.3","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"523
Flight Dynamics and Control","001","","14","3.464","42.9","21.4","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"545
Mechanical Vibrations","001","","49","2.388","12.2","18.4","4.1","18.4","28.6","10.2","8.2",".",".",".",".",".",".",".",".","."
"550
Astrodynamics","001","","31","3.323","35.5","29.0","16.1","16.1",".",".","3.2",".",".",".",".",".",".",".",".","."
"569
Senior Design Project","001","","39","2.936","28.2","2.6","23.1","20.5","25.6",".",".",".",".",".",".",".",".",".",".","."
"599","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"601
Special Topics: Engr Mech","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"611
Adv Mech Testing-Materials","001","","19","3.132","31.6","31.6","10.5","5.3","10.5","10.5",".",".",".",".",".",".",".",".",".","."
"642
Satellite Dynamics","001","","27","2.685","3.7","22.2","25.9","18.5","22.2","7.4",".",".",".",".",".",".",".",".",".","."
"705
Adv Topics-Finite Elements","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"708
Advanced Composite Material","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 121 of 408",""
