"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","137","3.156","29.2","19.7","23.4","13.1","5.1","2.9","2.2","4.4",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","23","3.643","47.8","26.1","13.0","4.3",".",".",".","8.7",".",".",".",".",".",".",".","."
"The Symphony","106
001","62","3.303","45.2","9.7","27.4","4.8","8.1",".","3.2","1.6",".",".",".",".",".",".",".","."
"","111
001","22","3.159","27.3","22.7","31.8","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","111
002","21","3.475","38.1","19.0","33.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","43","3.310","32.6","20.9","32.6","7.0","2.3",".","2.3","2.3",".",".",".",".",".",".",".","."
"","001
113","495","3.927","92.1","4.0","2.2",".","0.4","0.2","0.4","0.4",".",".",".",".",".",".",".","0.2"
"","113
002","50","3.833","4.0","2.0",".",".",".",".",".","90.0",".",".",".",".",".",".","4.0","."
"Music in Performance","Course Total","545","3.926","84.0","3.9","2.0",".","0.4","0.2","0.4","8.6",".",".",".",".",".",".","0.4","0.2"
"","122
001","26","3.288","23.1","15.4","57.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","122
002","39","3.051","15.4","17.9","41.0","12.8","12.8",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","65","3.146","18.5","16.9","47.7","9.2","7.7",".",".",".",".",".",".",".",".",".",".","."
"","151
001","31","3.306","41.9","16.1","22.6","6.5","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"","151
002","29","3.400","34.5","31.0","10.3","3.4",".","6.9",".","13.8",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","60","3.348","38.3","23.3","16.7","5.0","5.0","5.0",".","6.7",".",".",".",".",".",".",".","."
"","172
101","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","12","3.042","8.3","8.3","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","172
103","14","2.857","7.1","21.4","28.6","21.4","21.4",".",".",".",".",".",".",".",".",".",".","."
"","172
104","13","3.269","15.4","38.5","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","172
105","12","3.000","8.3","33.3","33.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","65","3.138","15.4","27.7","36.9","9.2","10.8",".",".",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","309","3.808","70.9","12.3","7.8","2.3","0.3",".",".","6.1",".",".",".",".","0.3",".",".","."
"Survey-Hist Western Music","212
001","60","3.250","31.7","18.3","30.0","8.3","11.7",".",".",".",".",".",".",".",".",".",".","."
"","222
001","19","3.421","36.8","26.3","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","222
002","21","3.452","33.3","28.6","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","Course Total","40","3.438","35.0","27.5","30.0","5.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"","254
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
002","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","43","3.942","90.7","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
