"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Stats for Sociologists I","Course Total","99","3.207","29.3","25.3","26.3","10.1","4.0","3.0","2.0",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models-Social Sys","376
001","15","3.808","66.7","13.3",".","6.7",".",".",".","13.3",".",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380
001","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","99","3.413","28.3","46.5","11.1","9.1","3.0",".","1.0",".",".",".",".",".",".","1.0",".","."
"","475
001","43","2.977","23.3","27.9","14.0","18.6","7.0","4.7","4.7",".",".",".",".",".",".",".",".","."
"","475
002","28","2.911","25.0","14.3","25.0","25.0",".","3.6","7.1",".",".",".",".",".",".",".",".","."
"","475
003","29","3.448","48.3","13.8","20.7","13.8","3.4",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","100","3.095","31.0","20.0","19.0","19.0","4.0","3.0","4.0",".",".",".",".",".",".",".",".","."
"","496
003","29","3.879","89.7",".","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","496
004","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","49","3.867","83.7","8.2","6.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad in Sociology","497
000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Social Psychology","530
001","51","3.224","31.4","23.5","15.7","7.8","17.6",".",".","3.9",".",".",".",".",".",".",".","."
"","532
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","532
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","7","3.523","71.4",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535
001","22","3.000","31.8","9.1","22.7","18.2","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"Rur Minority Grp&Povrty-U S","578
001","15","3.300","20.0","46.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","621
001","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","621
002","9","3.500","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Class,State&Ideol:IntroMarx","Course Total","20","3.737","80.0","10.0",".",".",".",".","5.0",".",".",".",".",".","5.0",".",".","."
"Soc:Devlp Societies/3rd Wld","630
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Structure of India","634
001","43","2.947","7.0","16.3","44.2","7.0","11.6","2.3",".","9.3",".",".",".",".",".","2.3",".","."
"Modern American Communities","645
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology of Education","648
001","27","3.241","18.5","33.3","33.3","7.4","7.4",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Agriculture","650
001","16","3.467","25.0","56.3",".","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"","682
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","692
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"Pract-Analysis & Research","693
001","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","698
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","",".",".",".",".",".",".",".",".",".","66.7","33.3",".",".",".",".","."
"","699
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","016
699","165","3.965","95.2","1.2","1.8",".",".",".","0.6",".",".",".",".",".","1.2",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 307 of 408",""
