"","990
083","","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
088","","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
091","","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","","32","",".",".",".",".",".","",".","",".","96.9","",".",".",".","3.1","",".",".",".","."
"M&ENVTOX
362","Dept. Total","","97","3.406","10.3","6.2","11.3","2.1","2.1","",".","",".","66.0","",".",".",".","1.0","",".",".","1.0","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","3.000","50.0",".",".",".","50.0","",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","","10","3.083","20.0","10.0","50.0","10.0","10.0","",".","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","","12","3.071","25.0","8.3","41.7","8.3","16.7","",".","",".",".","",".",".",".",".","",".",".",".","."
"Special","","","4","3.000",".",".","25.0",".",".","",".","",".","50.0","",".",".",".",".","",".",".","25.0","."
"Graduate","","","81","3.500","8.6","6.2","6.2","1.2",".","",".","",".","76.5","",".",".",".","1.2","",".",".",".","."
"","Dept. Total","","97","3.406","10.3","6.2","11.3","2.1","2.1","",".","",".","66.0","",".",".",".","1.0","",".",".","1.0","."
