"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","252","2.602","17.1","10.7","24.2","7.5","25.0","9.9","4.4","0.4",".",".",".",".",".","0.4",".","0.4"
"","002
101","330","2.568","18.5","8.5","22.1","12.4","23.3","9.1","6.1",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","582","2.583","17.9","9.5","23.0","10.3","24.1","9.5","5.3","0.2",".",".",".",".",".","0.2",".","0.2"
"","102
001","19","3.447","47.4","31.6","10.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","102
002","23","3.761","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.400","40.0","25.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","20","3.175","15.0","30.0","45.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","102
005","21","3.762","71.4","19.0","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
006","21","3.238","9.5","38.1","47.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
007","20","3.800","80.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
008","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","24","3.604","41.7","41.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
011","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","21","3.500","33.3","38.1","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","21","3.405","52.4","14.3","14.3",".","19.0",".",".",".",".",".",".",".",".",".",".","."
"","102
015","22","3.750","63.6","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","25","3.240","24.0","36.0","16.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","102
017","23","3.261","21.7","34.8","26.1","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","102
018","22","3.591","45.5","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","388","3.573","50.0","27.3","15.5","3.4","3.4","0.3","0.3",".",".",".",".",".",".",".",".","."
"","151
001","93","2.945","23.7","8.6","36.6","4.3","19.4","4.3","1.1",".",".",".",".",".",".",".",".","2.2"
"","151
002","93","2.866","18.3","5.4","45.2","8.6","15.1","7.5",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","186","2.905","21.0","7.0","40.9","6.5","17.2","5.9","0.5",".",".",".",".",".",".",".",".","1.1"
"","152
001","78","3.449","43.6","14.1","33.3","6.4","2.6",".",".",".",".",".",".",".",".",".",".","."
"","152
002","77","3.234","29.9","10.4","46.8","2.6","10.4",".",".",".",".",".",".",".",".",".",".","."
"","152
003","61","3.016","19.7","9.8","49.2","6.6","9.8","4.9",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","216","3.250","31.9","11.6","42.6","5.1","7.4","1.4",".",".",".",".",".",".",".",".",".","."
"","153
001","18","2.912","16.7","16.7","27.8",".","33.3",".",".","5.6",".",".",".",".",".",".",".","."
"","153
002","32","3.109","28.1","12.5","37.5","9.4","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","50","3.041","24.0","14.0","34.0","6.0","16.0","4.0",".","2.0",".",".",".",".",".",".",".","."
"Directed Study","199
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","260
001","63","3.198","41.3","6.3","19.0","20.6","11.1","1.6",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","19","3.526","57.9","15.8","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"Parasitology","350
001","86","3.151","31.4","10.5","36.0","5.8","15.1",".","1.2",".",".",".",".",".",".",".",".","."
"Parasitology Laboratory","351
001","13","3.077","15.4","15.4","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Honors Proseminar","380
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biology","400
002","28","3.679","71.4","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","144","3.087","29.9","13.2","30.6","5.6","15.3","4.9",".",".",".",".",".",".",".",".","0.7","."
"General Ecology","460
001","33","3.091","30.3","9.1","39.4","3.0","12.1","6.1",".",".",".",".",".",".",".",".",".","."
"General Genetics","466
001","36","2.750","13.9","11.1","30.6","16.7","19.4","8.3",".",".",".",".",".",".",".",".",".","."
"Intro to Animal Development","470
001","174","2.874","20.1","13.8","27.0","12.6","21.3","3.4","1.7",".",".",".",".",".",".",".",".","."
