"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","22","2.548",".","36.4","18.2","13.6","13.6",".","13.6","4.5",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","277","3.641","45.8","32.5","12.6","1.4","0.7","0.4",".","6.5",".",".",".",".",".",".",".","."
"","199","007","13","3.731","61.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","199","020","17","3.927","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","31","3.837","80.6","12.9","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","95","3.047","29.5","30.5","10.5","12.6","6.3","4.2","6.3",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","92","3.495","47.8","28.3","14.1","3.3","3.3","2.2","1.1",".",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","76","2.714","9.2","22.4","22.4","9.2","18.4","7.9","2.6","3.9","2.6",".",".",".",".",".",".","1.3"
"Latin America-Introduction","260","001","14","3.308","28.6","28.6","14.3","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","15","2.733","13.3","13.3","33.3","26.7",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","49","3.649","40.8","46.9","6.1",".","2.0",".",".","4.1",".",".",".",".",".",".",".","."
"Black Women in America","324","001","15","3.321","33.3","26.7","13.3","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Intro:History-Caribbean Soc","347","001","11","2.591",".","9.1","45.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"African American Families","521","001","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"The Black Arts Movement","603","001","21","3.119","47.6","19.0","4.8","4.8","9.5","9.5","4.8",".",".",".",".",".",".",".",".","."
"Afr Am Women's Activism 19-20C","624","001","14","3.000","21.4","21.4","35.7","7.1",".","14.3",".",".",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","9","3.500","55.6",".","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honor Thesis","682","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","7","3.588","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","790","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
