"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"260
History of Landscape Arch","001","","61","2.771","14.8","9.8","13.1","37.7","19.7","1.6",".","3.3",".",".",".",".",".",".",".","."
"262
Landscape Invntry&Eval Meth","001","","31","3.100","19.4","29.0","29.0","9.7","3.2","3.2","3.2",".",".",".",".",".","3.2",".",".","."
"270
Land Arc Workshop","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","11","3.759","81.8",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"312","001","","16","3.367","18.8","43.8","25.0",".","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"312","002","","16","3.281","6.3","62.5","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Graphics for Designers","Course Total","","32","3.323","12.5","53.1","21.9","3.1","6.3",".",".",".",".",".",".",".","3.1",".",".","."
"351
Housing and Urban Design","001","","24","3.625","45.8","37.5","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"353
Landscape Arch Technology I","001","","25","3.300","4.0","60.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"356
Sustainabl Residntl Constructn","001","","11","2.909","18.2",".","54.5","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"361
Wetlands Ecology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","7","3.706","57.1",".","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"451
Open Space Planning&Design","001","","24","3.167","20.8","20.8","37.5","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"463
Evolution-American Planning","001","","12","3.500","66.7","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"551
Senior Project in Land Arc","001","","23","3.659","56.5","21.7","13.0",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"651
Plant Commun Restoratn&Mgmt","001","","9","2.750",".","11.1","33.3","33.3","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"677
Cult Rsrce Presrv&Lndsc Hst","001","","10","3.556","30.0","50.0",".","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","22","3.182","22.7","40.9","18.2","4.5","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","","6","3.750","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","2","***","","","","","","","","","","","","","","","",""
