"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","90","3.933","92.2","4.4","1.1",".",".","1.1",".","1.1",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","42","2.655","16.7","11.9","28.6","4.8","23.8","11.9","2.4",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","240","3.792","73.8","18.8","5.4","0.4","0.4","0.4","0.8",".",".",".",".",".",".",".",".","."
"","120","001","28","3.107","35.7","14.3","21.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","120","002","50","3.040","26.0","24.0","24.0","12.0","6.0","2.0","6.0",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","78","3.064","29.5","20.5","23.1","10.3","9.0","3.8","3.8",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","52","3.587","50.0","17.3","32.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","38","3.882","84.2","7.9","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","43","3.035","23.3","20.9","30.2","4.7","16.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","36","3.375","30.6","41.7","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","10","3.000","10.0","50.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","21","3.833","81.0","4.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","339","001","35","2.985","11.4","20.0","34.3","17.1","8.6","2.9",".","5.7",".",".",".",".",".",".",".","."
"","339","002","48","2.936","14.6","12.5","37.5","12.5","20.8",".",".","2.1",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","83","2.956","13.3","15.7","36.1","14.5","15.7","1.2",".","3.6",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","14","3.116","21.4","21.4","35.7","7.1",".","7.1",".",".",".",".",".",".",".","7.1",".","."
"Environment&Global Economy","344","001","36","2.972","19.4","27.8","19.4",".","30.6","2.8",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","31","3.155","22.6","32.3","12.9","16.1","6.5",".","3.2",".",".",".",".",".","6.5",".",".","."
"Intro to Geog Info Systems","377","001","7","2.786","28.6",".","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","002","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","003","14","3.607","78.6","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","402","004","17","3.969","88.2","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Topics in Envir: Soc&Human St","","Course Total","51","3.830","82.4","9.8","3.9",".",".",".","2.0","2.0",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","25","3.300","44.0","24.0","12.0","4.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"World Forest History","452","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir Impact-Livestock Operatn","468","001","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Environmental Health","471","001","61","3.267","18.0","23.0","47.5","4.9","1.6",".",".","3.3",".",".",".",".",".",".","1.6","."
"Sci Bckgrnd-Globl Envr Prob","472","001","10","3.000","30.0","10.0","40.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","13","2.917","30.8","15.4","23.1",".","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".","."
"","511","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","511","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes Lab","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Renewable Resources Policy","515","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment-Environ Impact","575","001","16","3.281","18.8","18.8","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".",".",".","3.8","."
"","600","002","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","","Course Total","35","3.926","85.7","8.6","2.9",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"Sys Thinking & Sustainable Bus","601","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651","001","9","3.333","33.3","22.2","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 154 of 408",""
