"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","329
001","9","2.667","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Writing (M.L.I.)","603
001","10","3.400","30.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Process","713
001","22","2.000","18.2",".","36.4",".","4.5",".",".",".",".",".",".",".",".",".",".","4.5"
"Contracts II","721
001","63","0.992","7.9","1.6","17.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","723
001","10","1.000","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","10","0.700","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","13","1.923","7.7",".","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","13","1.167","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"","723
005","10","0.700","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","10","1.300","10.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
007","10","1.500",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","11","0.818",".",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","10","1.300","10.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
010","12","1.917","16.7",".","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
011","11","1.636",".",".","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","12","1.083","8.3",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
013","11","1.545",".",".","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","014
723","14","0.714",".",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","723
015","11","2.000","9.1",".","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
016","13","0.615",".",".","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","723
017","13","0.231",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
018","13","1.462","7.7",".","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
019","11","1.455","9.1",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
020","11","1.091",".",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
021","12","1.750",".",".","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
022","13","1.692","7.7",".","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","254","1.253","5.9",".","32.7",".","1.6",".",".",".",".",".",".",".",".",".",".","0.4"
"","724
001","94","1.213","9.6",".","19.1",".","12.8",".",".",".",".",".",".",".",".",".",".","."
"","724
002","122","1.446","13.1","1.6","26.2",".","3.3",".",".",".",".",".",".",".",".",".",".","0.8"
"","724
003","50","1.100","12.0",".","16.0",".","6.0","2.0",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","266","1.298","11.7","0.8","21.8",".","7.1","0.4",".",".",".",".",".",".",".",".",".","0.4"
"","725
001","65","1.385","9.2",".","33.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","52","1.212","9.6",".","21.2",".","9.6",".",".",".",".",".",".",".",".",".",".","."
"","003
725","63","1.065","7.9",".","12.7",".","15.9","3.2",".",".",".",".",".",".",".",".",".","1.6"
"","725
004","56","1.768","10.7",".","41.1",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"","725
005","26","1.462","11.5",".","30.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","262","1.364","9.5",".","27.5",".","7.3","0.8",".",".",".",".",".",".",".",".",".","0.4"
"Federal Law & Indian Tribes","730
001","15","3.369","33.3","6.7","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","731
001","48","1.021","6.3",".","20.8",".","6.3",".",".",".",".",".",".",".",".",".",".","2.1"
"","731
002","55","1.280","5.5",".","29.1",".","3.6",".",".","9.1",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","103","1.155","5.8",".","25.2",".","4.9",".",".","4.9",".",".",".",".",".",".",".","1.0"
"Trusts and Estates","733
001","125","1.040","8.8","0.8","11.2","0.8","3.2","2.4",".","20.0",".",".",".",".",".",".","0.8","."
"Secured Transactions","736
001","45","1.205","15.6",".","11.1",".","4.4",".",".","13.3",".",".",".",".",".",".",".","."
"","740
001","54","0.962","9.3",".","16.7",".","1.9","1.9",".","3.7",".",".",".",".",".",".",".","."
