"","990
078","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
080","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
081","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","59","",".",".",".",".",".","",".",".","100.0","",".",".",".","",".","",".",".",".","."
"NEUROSCI
682","Dept. Total","332","3.556","44.9","10.8","8.1","3.0","1.5","",".","0.6","31.0","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","11","3.450","63.6","9.1","9.1","9.1","9.1","",".",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","146","3.501","59.6","17.1","13.7","6.2","2.7","",".","0.7",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","161","3.505","60.9","16.1","13.0","6.2","3.1","",".","0.6",".","",".",".",".","",".","",".",".",".","."
"Special","","3","1.500",".",".","33.3",".",".","",".","33.3","33.3","",".",".",".","",".","",".",".",".","."
"Graduate","","153","3.761","30.1","6.5","3.3",".",".","",".",".","60.1","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","9","4.000","55.6",".",".",".",".","",".",".","44.4","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","6","",".",".",".",".",".","",".",".","100.0","",".",".",".","",".","",".",".",".","."
"Professionals","","15","4.000","33.3",".",".",".",".","",".",".","66.7","",".",".",".","",".","",".",".",".","."
"","Dept. Total","332","3.556","44.9","10.8","8.1","3.0","1.5","",".","0.6","31.0","",".",".",".","",".","",".",".",".","."
