"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","303
001","119","3.382","42.9","15.1","26.1","7.6","8.4",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","304
001","24","3.396","37.5","12.5","41.7","8.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","304
002","24","3.458","33.3","25.0","41.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","304
003","24","3.458","29.2","33.3","37.5",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","304
004","20","3.375","25.0","35.0","35.0",".","5.0",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","304
005","24","3.458","33.3","25.0","41.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Cellular Biology Laboratory","Course Total","116","3.431","31.9","25.9","39.7","1.7","0.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Biological Interactions","333
001","75","3.407","34.7","17.3","44.0","2.7","1.3",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","699
001","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
002","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCORE
206","Dept. Total","315","3.409","37.8","19.4","34.9","4.1","3.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","51","3.172","15.7","25.5","45.1","7.8","5.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","159","3.430","39.6","20.8","30.8","4.4","4.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","103","3.504","46.6","14.6","35.9","1.9","1.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","313","3.415","38.0","19.5","34.8","4.2","3.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","2.400",".",".","50.0",".","50.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","315","3.409","37.8","19.4","34.9","4.1","3.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
