"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ENGLISH
350","Dept. Total","4734","3.469","38.9","24.9","16.2","4.7","2.2","0.6","1.0","2.3","0.0","7.7","0.4","0.5","0.2","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","868","3.426","33.2","27.4","18.2","5.2","1.6","0.5","1.4",".",".","10.9","1.0",".",".","0.1","0.1","0.3"
"Sophomore","","1184","3.480","40.6","26.8","17.9","5.5","1.9","0.4","0.8",".",".","5.6","0.3",".",".",".",".","0.1"
"Junior","","911","3.360","36.3","28.6","19.8","6.4","3.7","1.0","1.8",".",".","2.3","0.1",".",".",".",".","."
"Senior","","1209","3.482","43.8","25.1","17.0","4.4","2.7","0.9","0.8","0.7",".","4.1","0.2",".",".","0.1","0.1","."
"Undergraduates","","4172","3.442","39.1","26.8","18.1","5.3","2.5","0.7","1.2","0.2",".","5.6","0.4",".",".","0.0","0.0","0.1"
"Special","","117","3.618","16.2","18.8","6.0",".",".",".",".","7.7",".","46.2","0.9",".","3.4",".","0.9","."
"Graduate","","444","3.888","43.0","8.6","1.4",".","0.2",".",".","20.5","0.2","17.3","0.5","5.9","1.4","0.2","0.9","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","4734","3.469","38.9","24.9","16.2","4.7","2.2","0.6","1.0","2.3","0.0","7.7","0.4","0.5","0.2","0.1","0.1","0.1"
