"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"L&S","College Total","85988","3.244","36.6","20.1","19.7","","7.6 Name? Name? Name? Name? Name? Name? Name? Name? Name? Name? Name?","","","","","","","","","","","#Name?"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"L&S","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","9920","2.973","24.2","19.2","24.2","10.5","13.1","3.9","2.4","0.0",".","2.0","0.1",".","0.0","0.1","0.0","0.3"
"Sophomore","","20539","3.165","32.4","20.8","23.0","8.9","9.5","2.6","1.5","0.1","0.0","1.1","0.1",".","0.0","0.1","0.0","0.1"
"Junior","","20412","3.214","34.2","21.8","21.9","8.7","8.6","2.3","1.4","0.4","0.0","0.5","0.0",".","0.1","0.1","0.0","0.0"
"Senior","","24503","3.314","39.8","21.4","19.3","7.0","6.2","1.9","1.3","1.8","0.1","0.6","0.0","0.0","0.2","0.1","0.1","0.1"
"Undergraduates","","75374","3.197","34.2","21.0","21.6","8.5","8.7","2.5","1.5","0.7","0.0","0.9","0.0","0.0","0.1","0.1","0.0","0.1"
"Special","","1197","3.374","34.3","14.5","9.4","4.3","3.0","1.2","1.8","21.2",".","5.3","0.2",".","0.6","1.3","2.6","0.3"
"Graduate","","9334","3.815","56.2","12.7","4.7","0.5","0.2","0.0","0.1","20.9","0.2","2.3","0.0","1.2","0.5","0.1","0.2","0.0"
"Prof Yr 1","","179","3.449","55.9","7.8","26.3","3.4","5.6","0.6","0.6",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","76","3.863","80.3","14.5","1.3","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","88","3.810","76.1","11.4","5.7","2.3",".",".",".","1.1",".","2.3",".","1.1",".",".",".","."
"Prof Yr 4","","3","3.571","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","346","3.618","66.5","10.1","15.6","3.2","2.9","0.3","0.3","0.3",".","0.6",".","0.3",".",".",".","."
"","College Total","86251","3.244","36.7","20.0","19.6","7.5","7.6","2.2","1.4","3.2","0.0","1.1","0.0","0.1","0.1","0.1","0.1","0.1"
