"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
020","15","3.200","20.0","13.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
021","15","3.300","40.0","13.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","344
022","17","3.441","29.4","47.1","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
023","16","3.344","18.8","50.0","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
024","16","3.375","31.3","31.3","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
025","18","3.250","33.3","11.1","38.9","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","344
026","17","3.353","29.4","29.4","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
027","17","3.147","23.5","11.8","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"","344
028","16","3.344","37.5","6.3","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","451","3.255","27.1","23.9","28.2","16.4","3.8","0.4","0.2",".",".",".",".",".",".",".",".","."
"","345
001","126","2.718","20.6","5.6","28.6","3.2","35.7","4.8","1.6",".",".",".",".",".",".",".",".","."
"","345
002","306","2.806","20.6","7.5","30.7","5.9","31.4","2.3","1.6",".",".",".",".",".",".",".",".","."
"","345
003","243","2.710","17.3","5.8","35.0","13.6","17.7","7.4","3.3",".",".",".",".",".",".",".",".","."
"","345
004","34","3.515","32.4","44.1","20.6",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","709","2.791","20.0","8.3","31.3","7.8","26.1","4.4","2.1",".",".",".",".",".",".",".",".","."
"","346
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
004","13","3.423","30.8","46.2","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","18","3.371","27.8","38.9","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Polymeric Materials","421
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","23","3.739","78.3","13.0",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","35","3.300","34.3","20.0","22.9","17.1","5.7",".",".",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","14","3.179","28.6","21.4","28.6",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","34","3.000","32.4","5.9","20.6","11.8","29.4",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","67","3.239","34.3","13.4","35.8","10.4","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"","563
001","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
002","18","3.528","61.1","16.7","16.7",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","563
003","18","3.667","77.8","11.1","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","563
004","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
563","16","2.906","50.0","12.5","6.3","6.3","6.3",".","18.8",".",".",".",".",".",".",".",".","."
"","563
006","17","3.588","58.8","17.6","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","563
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","563
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","115","3.504","60.0","19.1","11.3","2.6","2.6",".","4.3",".",".",".",".",".",".",".",".","."
"","564
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","13","3.385","30.8","46.2","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","565
001","22","2.864","22.7","13.6","27.3","13.6","9.1","13.6",".",".",".",".",".",".",".",".",".","."
"","567
001","7","2.857","14.3","28.6","42.9",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","567
002","10","3.300","30.0","10.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","567
003","8","3.313","37.5","12.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Laboratory","Course Total","25","3.180","28.0","16.0","44.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
