"","999
010","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
011","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
016","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","","","",""
"LINGUIS
550","Dept. Total","341","3.488","45.7","23.2","14.7","6.7","4.7","0.6","0.3","2.3","0.6",".","",".","",".","1.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.167","33.3","6.7","26.7","26.7","6.7",".",".",".",".",".","",".","",".",".",".",".","."
"Sophomore","","100","3.502","52.0","20.0","13.0","8.0","4.0","2.0",".","1.0",".",".","",".","",".",".",".",".","."
"Junior","","83","3.373","34.9","28.9","21.7","4.8","8.4",".",".","1.2",".",".","",".","",".",".",".",".","."
"Senior","","98","3.565","51.0","22.4","12.2","5.1","3.1",".","1.0","2.0","1.0",".","",".","",".","2.0",".",".","."
"Undergraduates","","296","3.469","45.9","22.6","15.9","7.1","5.1","0.7","0.3","1.4","0.3",".","",".","",".","0.7",".",".","."
"Special","","6","3.083",".","33.3","50.0","16.7",".",".",".",".",".",".","",".","",".",".",".",".","."
"Graduate","","39","3.734","51.3","25.6",".","2.6","2.6",".",".","10.3","2.6",".","",".","",".","5.1",".",".","."
"","Dept. Total","341","3.488","45.7","23.2","14.7","6.7","4.7","0.6","0.3","2.3","0.6",".","",".","",".","1.2",".",".","."
