"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"","990
049","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","14","",".",".",".",".",".",".",".","92.9",".",".",".","",".","",".",".","7.1","."
"Individual Research","999
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".","",".",".","."
"LCA
521","Dept. Total","458","3.350","34.3","25.8","20.7","7.0","3.7","0.9","1.7","4.6","0.2",".",".","",".","",".","0.9","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","53","2.910","9.4","24.5","34.0","13.2","11.3","1.9","3.8",".",".",".",".","",".","",".","1.9",".","."
"Sophomore","","119","3.348","38.7","26.1","21.0","5.9","2.5","0.8","3.4","1.7",".",".",".","",".","",".",".",".","."
"Junior","","114","3.335","28.9","30.7","24.6","7.9","5.3","0.9",".","0.9",".",".",".","",".","",".","0.9",".","."
"Senior","","125","3.451","38.4","27.2","18.4","7.2","1.6","0.8","1.6","4.0","0.8",".",".","",".","",".",".",".","."
"Undergraduates","","411","3.320","32.1","27.5","22.9","7.8","4.1","1.0","1.9","1.9","0.2",".",".","",".","",".","0.5",".","."
"Special","","8","3.900","50.0","25.0",".",".",".",".",".",".",".",".",".","",".","",".","25.0",".","."
"Graduate","","39","3.858","53.8","7.7","2.6",".",".",".",".","33.3",".",".",".","",".","",".",".","2.6","."
"","Dept. Total","458","3.350","34.3","25.8","20.7","7.0","3.7","0.9","1.7","4.6","0.2",".",".","",".","",".","0.9","0.2","."
