"Special Problems-Neurology","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","923
035","","1","***","","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","923
044","","1","***","","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clin Neurol-Outpt Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROL
676","Dept. Total","","5","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","2","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","2","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","5","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
