"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"","990
087","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
094","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","71","",".",".",".",".",".",".",".","98.6","",".",".",".","1.4",".",".",".","."
"MICROBIO
192","Dept. Total","1304","3.148","33.6","16.3","21.2","9.7","10.8","2.2","0.2","5.7","",".",".",".","0.1","0.2",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","2.778",".","22.2","22.2","44.4","11.1",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","127","2.988","21.3","22.0","23.6","17.3","10.2","3.1","1.6",".","",".",".",".",".","0.8",".",".","."
"Junior","","291","3.001","25.4","20.6","22.7","11.0","15.5","4.1","0.3",".","",".",".",".",".",".",".",".","0.3"
"Senior","","557","3.198","34.6","17.6","25.0","9.3","10.6","2.3",".","0.4","",".",".",".",".","0.2",".",".","."
"Undergraduates","","984","3.099","29.9","19.1","24.1","11.2","12.0","2.9","0.3","0.2","",".",".",".",".","0.2",".",".","0.1"
"Special","","30","3.137","43.3","16.7","6.7","6.7","23.3",".",".","3.3","",".",".",".",".",".",".",".","."
"Graduate","","210","3.713","52.9","5.2","4.3","1.0","1.9",".",".","33.8","",".",".",".","0.5",".",".","0.5","."
"Prof Yr 1","","79","3.063","24.1","10.1","35.4","15.2","15.2",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","80","3.071","25.0","10.0","35.0","15.0","15.0",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","1304","3.148","33.6","16.3","21.2","9.7","10.8","2.2","0.2","5.7","",".",".",".","0.1","0.2",".","0.1","0.1"
