"","CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Construction Systems","290","001","","30","3.567","43.3","36.7","13.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","21","3.095","14.3","19.0","47.6","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","65","2.746","4.6","10.8","38.5","24.6","20.0","1.5",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","47","2.596","6.4","14.9","25.5","23.4","19.1","8.5","2.1",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","71","3.136","21.1","22.5","33.8","9.9","8.5","2.8",".","1.4",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","50","3.000","18.0","10.0","48.0","14.0","4.0","6.0",".",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","6","3.083","16.7",".","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Matrl-Constructd Facilities","395","001","","83","3.127","24.1","24.1","16.9","22.9","12.0",".",".",".",".",".",".",".",".",".",".","."
"Open Channel Hydraulics","411","001","","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrologic Design","414","001","","10","3.450","60.0",".","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Steel Structures I","445","001","","46","3.457","34.8","32.6","26.1","2.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","44","3.614","45.5","34.1","18.2","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","22","3.205","13.6","40.9","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","498","001","","78","3.577","50.0","33.3","10.3","2.6","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"","498","002","","17","3.594","47.1","23.5","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","","Course Total","","95","3.580","49.5","31.6","11.6","3.2","1.1","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"Hazardous Waste Management","522","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seepage and Slopes","530","001","","9","3.278","44.4","11.1","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures II","547","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","12","3.500","41.7","33.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","12","3.000","25.0","25.0","8.3","8.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructability Analysis","596","001","","24","3.479","25.0","45.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Hydrology","619","001","","10","3.611","40.0","30.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","629","001","","8","3.808","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Envir Engr","","Course Total","","12","3.840","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","649","001","","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","649","002","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","649","003","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topic-Structural Engr","","Course Total","","28","3.734","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679","002","","10","3.600","70.0",".","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","679","003","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Transprtatn&City Plan","","Course Total","","16","3.563","56.3","12.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","698","001","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","002","","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 111 of 408",""
