"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","","",""
"","601
009","25","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","601
010","25","3.979","92.0","4.0",".",".",".",".",".","",".","",".",".","",".",".","4.0",".",".","."
"","601
012","15","3.767","73.3","6.7","20.0",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","601
013","9","3.944","88.9","11.1",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","243","3.820","79.4","11.9","5.8","0.8","0.4","0.8","0.4","",".","",".",".","",".",".","0.4",".",".","."
"Intro to Psychotherapy","607
001","24","3.292","25.0","29.2","33.3","4.2","8.3",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
001","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
004","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
006","8","4.000","87.5",".",".",".",".",".",".","",".","",".",".","",".",".","12.5",".",".","."
"","621
007","11","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
008","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
009","13","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
010","21","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
014","10","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
015","7","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
016","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
017","25","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
019","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
020","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
022","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
023","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
039","14","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
040","33","3.920","87.9","6.1","6.1",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
044","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
061","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
065","12","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
072","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
075","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
082","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
084","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","621
099","21","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Mentored Research and Seminar","Course Total","254","3.990","98.0","0.8","0.8",".",".",".",".","",".","",".",".","",".",".","0.4",".",".","."
"Senior Honors Thesis","681
065","1","",".",".",".",".",".",".",".","",".","",".",".","",".","100.0",".",".",".","."
"","682
001","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","682
006","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","682
008","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","682
014","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","682
017","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","682
023","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","682
024","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","682
044","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","682
061","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","682
075","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","13","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Senior Thesis Seminar in Psych","686
001","16","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 312 of 454",""
