"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","5","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","9","4.000","66.7",".",".",".",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","184","3.929","88.6","8.2","3.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","689","3.568","37.7","12.0","9.4","2.2","1.5","",".","",".","37.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","330","4.000","49.4",".",".",".",".","",".","",".","50.6","",".",".","",".","",".","",".",".",".","."
"Professionals","1212","3.732","48.8","8.1","5.9","1.2","0.8","",".","",".","35.1","",".",".","",".","",".","",".",".",".","."
