"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","699
041","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
048","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
049","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
056","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
059","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
067","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
071","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
073","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
076","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
081","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
083","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
087","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
088","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
090","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
123","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
150","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
151","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Directed Study","Course Total","","85","4.000","96.5",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".","1.2","2.4","."
"","728
001","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","728
002","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","728
004","","4","3.625","50.0","25.0","25.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Electronics for Chem Instrmntn","Course Total","","10","3.850","80.0","10.0","10.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Intro to Mass Spectrometry","738
001","","15","4.000","93.3",".",".",".","",".","",".","",".",".","",".",".","",".","",".","","6.7",".",".","."
"","840
001","","7","3.714","57.1","28.6","14.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","840
002","","6","3.700","50.0","16.7","16.7",".","",".","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"Adv Topics in Organic Chem","Course Total","","13","3.710","53.8","23.1","15.4",".","",".","",".","",".","7.7","",".",".","",".","",".","",".",".",".","."
"Advanced Organic Chemistry","841
001","","28","3.732","57.1","32.1","10.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special Topics in Chem Educ","858
001","","8","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Topics-Physical Chemistry","860
001","","15","3.975","93.3","6.7",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Topic-Macromoleculr/Biophys","872
002","","16","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Chemistry-Biology Interface","890
001","","18","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Genomic Sciences Program Semin","923
157","","12","4.000","50.0",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Seminar-Chemical Biology (Adv)","945
001","","19","3.895","84.2","10.5","5.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Seminar-Physical Chemistry","960
002","","17","3.912","82.4","17.6",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","964
002","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","964
004","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","964
005","","4","4.000","25.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","75.0","."
"","964
007","","12","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","964
008","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","964
010","","5","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","964
011","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","964
013","","8","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","964
015","","5","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","Page 197 of 454",""
