"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","205","2.938","19.5","21.5","20.0","21.0","10.7","3.9","2.4",".","",".",".","",".","",".","1.0",".",".","."
"","101
002","321","3.022","20.6","20.9","21.2","18.4","18.4","0.6",".",".","",".",".","",".","",".",".",".",".","."
"","101
003","323","3.250","19.5","34.4","26.3","15.5","4.0",".",".",".","",".",".","",".","",".","0.3",".",".","."
"","004
101","298","3.096","24.2","17.8","29.5","16.8","8.4","2.3","0.7",".","",".",".","",".","",".",".","0.3",".","."
"Principles-Microeconomics","Course Total","1147","3.091","21.0","24.0","24.6","17.6","10.4","1.5","0.6",".","",".",".","",".","",".","0.3","0.1",".","."
"","001
102","150","3.013","21.3","18.7","22.0","22.7","11.3","3.3",".",".","",".",".","",".","",".","0.7",".",".","."
"","102
002","333","3.408","26.1","43.5","21.0","5.7","3.0","0.6",".",".","",".",".","",".","",".",".",".",".","."
"","102
003","234","2.964","18.8","19.7","21.8","20.1","17.5","1.7","0.4",".","",".",".","",".","",".",".",".",".","."
"","102
004","5","3.400","20.0","40.0","40.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Principles-Macroeconomics","Course Total","722","3.182","22.7","30.6","21.6","13.9","9.4","1.5","0.1",".","",".",".","",".","",".","0.1",".",".","."
"Internship Economics","228
001","7","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"","300
001","6","3.000","33.3","16.7","16.7","16.7",".","16.7",".",".","",".",".","",".","",".",".",".",".","."
"","300
002","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","300
003","3","2.833",".","33.3","33.3",".","33.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Introduction to Finance","Course Total","10","3.000","20.0","30.0","20.0","10.0","10.0","10.0",".",".","",".",".","",".","",".",".",".",".","."
"","301
001","147","3.377","34.7","29.3","17.7","12.9","4.1","0.7",".",".","",".",".","",".","",".","0.7",".",".","."
"","301
002","176","3.090","19.9","25.0","26.1","16.5","6.8","1.7","1.7","0.6","",".",".","",".","",".","1.7",".",".","."
"Intmed Microeconomic Theory","Course Total","323","3.222","26.6","26.9","22.3","14.9","5.6","1.2","0.9","0.3","",".",".","",".","",".","1.2",".",".","."
"","302
001","146","2.925","19.2","12.3","24.7","27.4","13.7","2.7",".",".","",".",".","",".","",".",".",".",".","."
"","302
002","145","3.100","19.3","27.6","26.9","14.5","9.0","1.4","1.4",".","",".",".","",".","",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","291","3.012","19.2","19.9","25.8","21.0","11.3","2.1","0.7",".","",".",".","",".","",".",".",".",".","."
"","306
001","35","2.600","11.4","20.0","31.4","2.9","17.1","8.6","8.6",".","",".",".","",".","",".",".",".",".","."
"","306
002","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
