"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"APPLIED BIOTECHNOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"160
ABT","","","","","","","","","","","","","","","","","","","","","","","","",""
"Principles of Biotechnology","700
001","","8","3.750","62.5","25.0","12.5",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Ethics, Safety, and Regulation","705
001","","7","3.571","42.9","28.6","28.6",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Prof & Tech Comm in Biotech","710
001","","10","3.950","90.0","10.0",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Techniques in Biotechnology","715
001","","11","3.450","54.5","27.3",".",".",".","",".","9.1","",".","",".",".","",".","",".","9.1",".",".","."
"Exprmntl Design Analys Biotech","720
001","","19","3.763","63.2","26.3","10.5",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Ldrship in Organizations","725
001","","17","3.912","94.1",".",".","5.9",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Indust Applic in Reg Affairs","745
001","","3","3.333","66.7",".",".",".","33.3","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Quality & Project Management","760
001","","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Tools for Data Analysis","775
001","","4","3.750","75.0",".","25.0",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Bioinformatic Inquiry","780
001","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Pre-Capstone","789
001","","7","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Capstone","790
001","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"ABT
160","Dept. Total","","90","3.763","74.4","14.4","6.7","1.1","1.1","",".","1.1","",".","",".",".","",".","",".","1.1",".",".","."
