"Section","#","","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"990
005","","1","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
009","","2","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
011","","2","","",".","",".","",".","",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
013","","1","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
014","","5","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
015","","5","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
017","","1","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
018","","4","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
021","","7","","",".","",".","",".","",".","",".","",".","",".","14.3",".",".","",".","85.7","",".",".",".","."
"990
023","","1","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
029","","3","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
037","","5","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
041","","1","","",".","",".","",".","",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
043","","2","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
045","","7","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
053","","8","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
057","","2","","",".","",".","",".","",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
059","","2","","",".","",".","",".","",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
061","","3","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
065","","2","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
069","","3","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
073","","3","","",".","",".","",".","",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
081","","3","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
089","","2","","",".","",".","",".","",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
093","","2","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
097","","5","","",".","",".","",".","",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
098","","1","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
102","","7","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
109","","1","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
113","","2","","",".","",".","",".","",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
115","","3","","",".","",".","",".","",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
117","","2","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
121","","9","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"123
990","","2","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
136","","1","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
137","","1","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
141","","7","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
147","","1","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
149","","3","","",".","",".","",".","",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990
157","","4","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
161","","2","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
165","","4","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
169","","1","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
173","","4","","",".","",".","",".","",".","",".","",".","",".","75.0","25.0",".","",".",".","",".",".",".","."
"990
185","","4","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990
189","","2","","",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 305 of 454",""
