"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reference & Info Service","Course Total","","19","4.000","89.5",".",".",".","",".",".",".","",".","",".",".","",".","",".","10.5",".",".","."
"","640
001","","5","3.750","40.0","40.0",".",".","",".",".",".","",".","",".",".","",".","",".","20.0",".",".","."
"","640
003","","21","3.947","81.0","9.5",".",".","",".",".",".","",".","",".",".","",".","",".","9.5",".",".","."
"","640
004","","19","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","640
005","","10","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","640
007","","5","4.000","80.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".","20.0",".","."
"","640
008","","10","3.650","60.0","20.0","10.0","10.0","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","","70","3.882","82.9","8.6","1.4","1.4","",".",".",".","",".","",".",".","",".","",".","4.3","1.4",".","."
"","644
001","","10","3.944","80.0","10.0",".",".","",".",".",".","",".","",".",".","",".","",".",".",".","10.0","."
"","644
002","","28","3.946","92.9","3.6","3.6",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","38","3.946","89.5","5.3","2.6",".","",".",".",".","",".","",".",".","",".","",".",".",".","2.6","."
"","651
001","","11","3.955","90.9","9.1",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","651
002","","17","3.906","82.4","5.9","5.9",".","",".",".",".","",".","",".",".","",".","",".","5.9",".",".","."
"Cataloging & Classification","Course Total","","28","3.926","85.7","7.1","3.6",".","",".",".",".","",".","",".",".","",".","",".","3.6",".",".","."
"","654
001","","11","3.773","72.7","9.1","18.2",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","654
002","","20","3.975","95.0","5.0",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Info Services Management","Course Total","","31","3.903","87.1","6.5","6.5",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Collection Management","655
001","","18","3.917","88.9","5.6","5.6",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","661
001","","12","4.000","83.3",".",".",".","",".",".",".","",".","",".",".","",".","",".","16.7",".",".","."
"","661
002","","3","3.667","66.7",".","33.3",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Information Ethics and Policy","Course Total","","15","3.923","80.0",".","6.7",".","",".",".",".","",".","",".",".","",".","",".","13.3",".",".","."
"","668
001","","20","3.925","90.0","5.0","5.0",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","668
002","","14","3.857","78.6","14.3","7.1",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Dig Curation and Collections","Course Total","","34","3.897","85.3","8.8","5.9",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","705
001","","2","2.000","50.0",".",".",".","",".",".","50.0","",".","",".",".","",".","",".",".",".",".","."
"","705
002","","6","3.250","16.7",".","50.0",".","",".",".",".","",".","",".",".","",".","",".","33.3",".",".","."
"","705
003","","4","3.750","75.0",".","25.0",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","705
004","","3","3.667","66.7",".","33.3",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Intro Analytics","Course Total","","15","3.308","46.7",".","33.3",".","",".",".","6.7","",".","",".",".","",".","",".","13.3",".",".","."
"Data Mining Planning and Mgmt","706
001","","13","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","722
001","","14","3.893","78.6","21.4",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","002
722","","12","3.667","83.3",".","8.3",".","",".","8.3",".","",".","",".",".","",".","",".",".",".",".","."
"College & Univ Libraries","Course Total","","26","3.788","80.8","11.5","3.8",".","",".","3.8",".","",".","",".",".","",".","",".",".",".",".","."
"","732
001","","4","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","732
002","","5","4.000","80.0",".",".",".","",".",".",".","",".","",".",".","",".","",".","20.0",".",".","."
"","732
003","","4","3.500","50.0","25.0",".","25.0","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Strategic Info Services","Course Total","","13","3.833","76.9","7.7",".","7.7","",".",".",".","",".","",".",".","",".","",".","7.7",".",".","."
"","751
001","","6","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","751
002","","16","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Database Dsgn-Info Prof","Course Total","","22","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","768
001","","22","3.975","86.4","4.5",".",".","",".",".",".","",".","",".",".","",".","",".","9.1",".",".","."
"","768
002","","3","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Digital Humanities Analytics","Course Total","","25","3.978","88.0","4.0",".",".","",".",".",".","",".","",".",".","",".","",".","8.0",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 272 of 454",""
