"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"ELPA","","","","","","","","","","","","","","","","","","","","","",""
"Junior","4","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Senior","9","4.000","100.0",".",".","",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","13","3.923","92.3",".","7.7","",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Special","13","3.955","76.9","7.7",".","",".",".","",".",".","7.7","",".",".","",".",".","7.7",".",".","."
"Graduate","496","3.938","73.4","3.8","1.0","",".","0.2","",".","0.4","15.9","",".","0.6","",".","1.2","3.2",".","0.2","."
"Prof Yr 2","4","***","","","","","","","","","","","","",".","",".",".","25.0",".",".","."
"Prof Yr 3","3","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","7","4.000","85.7",".",".","",".",".","",".",".",".","",".",".","",".",".","14.3",".",".","."
