"ENTOMOLOGY","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","","","","","",""
"","201
001","64","3.730","60.9","31.3","4.7",".",".","",".","1.6","1.6","",".",".","",".","",".","",".",".",".","."
"","201
002","73","3.781","68.5","24.7","4.1",".","2.7","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","201
003","63","3.675","47.6","41.3","9.5","1.6",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Insects and Human Culture","Course Total","200","3.731","59.5","32.0","6.0","0.5","1.0","",".","0.5","0.5","",".",".","",".","",".","",".",".",".","."
"","299
001","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","299
003","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","299
006","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","299
009","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","299
010","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","299
015","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","11","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Introduction to Entomology","302
001","31","3.419","35.5","32.3","19.4","6.5","6.5","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Parasitology","350
001","12","3.250","33.3","16.7","41.7",".",".","","8.3",".",".","",".",".","",".","",".","",".",".",".","."
"","375
001","14","3.893","85.7","7.1","7.1",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","375
002","10","3.750","70.0","20.0",".","10.0",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special Topics","Course Total","24","3.833","79.2","12.5","4.2","4.2",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Plant-Insect Interactions","473
001","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Plant-Microbe Interactions","505
001","1","2.500",".",".",".","100.0",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
002","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
003","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
005","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
006","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
008","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
010","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
012","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
026","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special Problems","Course Total","16","3.962","93.8","6.3",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Advanced Taxonomy","701
001","11","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Pract-Entomology Teaching","799
026","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Colloquium","801
001","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special Topics","875
001","6","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","990
002","3","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
003","3","",".",".",".",".",".","",".",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
005","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
006","2","",".",".",".",".",".","",".",".","50.0","",".",".","",".","50.0","","",".",".",".","."
"","990
007","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
010","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
011","1","",".",".",".",".",".","",".",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
026","2","",".",".",".",".",".","",".",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
030","2","",".",".",".",".",".","",".",".",".","",".",".","",".","100.0","","",".",".",".","."
"","990
032","3","",".",".",".",".",".","",".",".","66.7","","33.3",".","",".","",".","",".",".",".","."
"Grad Research & Thesis","Course Total","19","",".",".",".",".",".","",".",".","47.4","","5.3",".","",".","47.4","","",".",".",".","."
