"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","21","3.537","47.6","19.0","28.6","4.8",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","71","3.579","54.9","15.5","21.1","4.2","2.8",".",".",".","",".",".","",".",".",".",".","1.4","."
"Senior","202","3.606","67.8","11.4","12.4","5.0","1.0","1.5","1.0",".","",".",".","",".",".",".",".",".","."
"Undergraduates","298","3.594","62.8","13.4","15.8","4.7","1.3","1.0","0.7",".","",".",".","",".",".",".",".","0.3","."
"Special","7","3.889","71.4","28.6",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","235","3.959","43.4","3.4","0.9",".",".",".",".","24.7","",".","25.5","",".","1.7","0.4",".",".","."
"Prof Yr 1","397","3.528","49.1","24.7","15.1","6.3","2.5","1.3","0.3",".","",".",".","",".",".","0.8",".",".","."
"Prof Yr 2","192","3.578","53.6","19.8","17.7","6.8","1.6","0.5",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","591","3.544","50.8","23.0","15.9","6.4","2.2","1.0","0.2",".","",".",".","",".",".","0.5",".",".","."
