"BUS","","","","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","","",""
"","990
031","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
082","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
107","3","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
138","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
162","3","",".",".",".",".",".",".",".","33.3","",".",".","",".","66.7","",".",".",".","."
"PhD Thesis-Marketing","Course Total","10","",".",".",".",".",".",".",".","80.0","",".",".","",".","20.0","",".",".",".","."
"MARKETNG
237","Dept. Total","2337","3.468","42.7","29.6","16.4","6.2","2.7","0.8","0.8","0.5","",".",".","",".","0.1","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.028","11.1","33.3","27.8","16.7","5.6","5.6",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","293","3.130","22.5","31.7","20.5","15.4","4.8","2.4","2.7",".","",".",".","",".",".","",".",".",".","."
"Junior","","624","3.351","35.7","29.3","20.5","7.4","4.2","1.4","1.4",".","",".",".","",".",".","",".",".",".","."
"Senior","","840","3.555","46.2","31.0","15.1","5.2","2.1","0.1","0.2",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","1775","3.407","38.3","30.5","18.0","7.8","3.3","1.0","1.1",".","",".",".","",".",".","",".",".",".","."
"Special","","50","3.396","30.0","36.0","20.0","4.0","4.0","2.0",".","2.0","",".",".","",".",".","",".",".","2.0","."
"Graduate","","512","3.727","59.2","25.6","10.5","1.2","0.6",".",".","2.1","",".",".","",".","0.4","",".",".","0.4","."
"","Dept. Total","2337","3.468","42.7","29.6","16.4","6.2","2.7","0.8","0.8","0.5","",".",".","",".","0.1","",".",".","0.1","."
