"","HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","","","","",""
"HDFS Leadership Symposium","253","001","130","3.686","80.8","4.6","4.6","2.3","2.3","2.3","2.3",".","",".",".","",".","",".","0.8",".",".","."
"Development of Young Child","362","001","233","3.787","75.5","12.0","7.7","0.9","2.1",".","0.4","1.3","",".",".","",".","",".",".",".",".","."
"Develp: Adolescence-Old Age","363","001","244","3.700","65.6","16.8","9.0","3.3","2.0","0.4","0.4",".","",".",".","",".","",".",".",".","2.5","."
"Rsch Meth in Hum Devel&Fam St","425","001","38","3.921","86.8","10.5","2.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Family&Com Influences-Child","469","001","40","3.833","82.5","5.0","5.0","2.5","2.5",".",".",".","",".",".","",".","",".","2.5",".",".","."
"Parent-Child Relations","471","001","40","3.825","77.5","15.0","2.5","5.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","474","001","38","3.816","81.6","10.5","2.6",".","5.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","474","002","38","3.865","81.6","10.5",".","5.3",".",".",".",".","",".",".","",".","",".","2.6",".",".","."
"Racial Ethnic Families in U.S.","","Course Total","76","3.840","81.6","10.5","1.3","2.6","2.6",".",".",".","",".",".","",".","",".","1.3",".",".","."
"","501","001","20","3.950","90.0","10.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","501","002","21","3.929","90.5","4.8","4.8",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","501","003","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","501","004","17","3.688","52.9","23.5","17.6",".",".",".",".",".","",".",".","",".","",".",".","5.9",".","."
"","501","005","34","3.971","94.1","5.9",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Topics","","Course Total","97","3.908","85.6","9.3","4.1",".",".",".",".",".","",".",".","",".","",".",".","1.0",".","."
"Family Stress and Resilience","516","001","38","3.408","42.1","23.7","18.4","5.3","10.5",".",".",".","",".",".","",".","",".",".",".",".","."
"Couple Relationships","517","001","48","3.885","83.3","12.5","2.1","2.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Research Experience in HDFS","592","001","13","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Internship","601","002","33","3.621","81.8","3.0","3.0",".","6.1","3.0","3.0",".","",".",".","",".","",".",".",".",".","."
"Parent Educ & Support Programs","650","001","33","3.773","87.9",".","3.0","3.0","3.0","3.0",".",".","",".",".","",".","",".",".",".",".","."
"Adv Study of Young Child","662","001","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Developmental & Fam Assessment","663","001","33","3.970","93.9","6.1",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","680","011","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","680","035","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","699","016","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","5","3.800","60.0","40.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","766","001","10","3.900","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","766","002","7","3.857","85.7",".","14.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Current Topics in HDFS","","Course Total","17","3.882","82.4","11.8","5.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Capstone Smr in Prevention Sci","881","001","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","990","011","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","033","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","039","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","040","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","041","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","043","2","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","044","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","045","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","046","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","047","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","Page 155 of 454",""
