"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dante's Divine Comedy","253
001","","19","2.842","26.3","21.1","26.3","10.5",".","",".","15.8","",".","",".",".","",".","",".","",".",".",".","."
"Crusades: Christianity & Islam","309
001","","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"The Nordic Storyteller","345
001","","10","3.750","50.0","50.0",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Kalevala&Finnish Folk-Lore","444
001","","6","3.667","83.3",".",".",".","16.7","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Old English","520
001","","6","3.250","16.7","33.3","33.3","16.7",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Intro to Middle High German","651
001","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"MEDIEVAL
633","Dept. Total","","44","3.321","43.2","25.0","15.9","6.8","2.3","",".","6.8","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","11","2.636","18.2","18.2","27.3","18.2",".","",".","18.2","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","12","3.368","50.0","16.7","25.0",".",".","",".","8.3","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","19","3.581","47.4","36.8","5.3","5.3","5.3","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","42","3.286","40.5","26.2","16.7","7.1","2.4","",".","7.1","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","44","3.321","43.2","25.0","15.9","6.8","2.3","",".","6.8","",".","",".",".","",".","",".","",".",".",".","."
