"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","990
025","6","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
036","6","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
048","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
051","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
052","3","",".",".",".",".",".",".",".",".",".",".","",".","100.0",".",".",".","."
"","990
053","2","",".",".",".",".",".",".",".",".",".",".","",".","100.0",".",".",".","."
"","990
055","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
060","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
062","3","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
064","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
066","5","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
067","3","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
070","1","",".",".",".",".",".",".",".",".",".",".","",".","100.0",".",".",".","."
"","990
071","1","",".",".",".",".",".",".",".",".",".",".","",".","100.0",".",".",".","."
"","990
081","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","990
099","2","",".",".",".",".",".",".",".",".",".",".","",".","100.0",".",".",".","."
"Research and Thesis","Course Total","45","",".",".",".",".",".",".",".","73.3",".",".","",".","26.7",".",".",".","."
"","999
048","1","",".",".",".",".",".",".",".",".",".",".","",".",".","100.0",".",".","."
"","999
060","1","",".",".",".",".",".",".",".",".",".",".","",".",".","100.0",".",".","."
"","999
099","4","",".",".",".",".",".",".",".",".",".",".","",".",".","100.0",".",".","."
"Independent Work","Course Total","6","",".",".",".",".",".",".",".",".",".",".","",".",".","100.0",".",".","."
"POLI SCI
778","Dept. Total","2405","3.485","42.8","27.2","14.1","4.7","2.7","0.7","1.1","3.2","0.0","0.7","",".","0.5","2.0","0.1","0.0","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","261","3.266","21.1","39.8","24.1","5.0","5.7","0.4","1.9",".",".","0.4","",".",".","1.5",".",".","."
"Sophomore","","511","3.539","44.8","31.3","16.4","3.7","2.0","0.8","0.4",".",".",".","",".",".","0.4",".",".","0.2"
"Junior","","635","3.484","46.1","27.4","13.5","6.3","2.4","0.6","1.6",".",".","0.8","",".",".","0.6","0.2",".","0.5"
"Senior","","789","3.509","49.6","23.8","12.0","5.3","2.7","0.9","1.3","0.3",".","1.4","",".",".","2.7","0.1",".","."
"Undergraduates","","2196","3.477","44.1","28.5","14.9","5.2","2.8","0.7","1.2","0.1",".","0.8","",".",".","1.4","0.1",".","0.2"
"Special","","35","3.160","8.6","14.3","11.4",".","8.6",".",".","54.3",".",".","",".",".",".",".","2.9","."
"Graduate","","174","3.791","33.3","13.2","4.0",".",".",".",".","32.8","0.6",".","",".","6.9","9.2",".",".","."
"","Dept. Total","2405","3.485","42.8","27.2","14.1","4.7","2.7","0.7","1.1","3.2","0.0","0.7","",".","0.5","2.0","0.1","0.0","0.2"
