"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101
001","191","3.302","28.3","34.6","15.7","6.8","2.6","2.6","2.1","5.2","",".",".","",".","",".","1.0","1.0",".","."
"Amer Hist-Civil War-Present","102
001","64","3.742","62.5","26.6","7.8","3.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro-E Asian History:Japan","104
001","23","3.727","56.5","26.1","13.0",".",".",".",".","4.3","",".",".","",".","",".",".",".",".","."
"Hist:The Univ in the West","107
001","11","3.273","54.5","9.1","9.1","9.1","9.1","9.1",".",".","",".",".","",".","",".",".",".",".","."
"","109
001","27","3.540","40.7","29.6","11.1","11.1",".",".",".",".","",".",".","",".","",".","7.4",".",".","."
"","109
002","227","3.333","16.7","12.8","6.6","1.3","2.2","1.8","0.9","57.3","",".",".","",".","",".","0.4",".",".","."
"Intro to US History","Course Total","254","3.387","19.3","14.6","7.1","2.4","2.0","1.6","0.8","51.2","",".",".","",".","",".","1.2",".",".","."
"Europe & the World, 1400-1815","119
001","56","2.913","8.9","23.2","12.5","17.9","3.6","1.8","3.6","28.6","",".",".","",".","",".",".",".",".","."
"Intro to World History","130
001","74","3.614","67.6","8.1","4.1","5.4","8.1","1.4",".","5.4","",".",".","",".","",".",".",".",".","."
"The N. American West to 1850","151
001","61","3.803","82.0","8.2","4.9","1.6","1.6","1.6",".",".","",".",".","",".","",".",".",".",".","."
"","200
001","12","3.250","25.0","50.0","8.3",".","8.3","8.3",".",".","",".",".","",".","",".",".",".",".","."
"","200
003","36","3.455","44.4","25.0","13.9","2.8",".","2.8","2.8",".","",".",".","",".","",".",".",".","5.6","2.8"
"Historical Studies","Course Total","48","3.400","39.6","31.3","12.5","2.1","2.1","4.2","2.1",".","",".",".","",".","",".",".",".","4.2","2.1"
"","201
002","15","3.786","66.7","20.0",".","6.7",".",".",".",".","",".",".","",".","",".","6.7",".",".","."
"","201
004","13","3.950","69.2","7.7",".",".",".",".",".",".","",".",".","",".","",".","23.1",".",".","."
"","201
005","15","3.536","60.0",".","13.3","20.0",".",".",".",".","",".",".","",".","",".","6.7",".",".","."
"","201
006","16","3.406","18.8","50.0","25.0","6.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","007
201","38","2.770","28.9","18.4","15.8","10.5","5.3","5.3","13.2",".","",".",".","",".","",".","2.6",".",".","."
"","201
008","21","3.375","23.8","42.9","23.8",".",".","4.8",".",".","",".",".","",".","",".",".","4.8",".","."
"","201
009","15","3.267","40.0","40.0","6.7",".",".","6.7","6.7",".","",".",".","",".","",".",".",".",".","."
"","201
010","12","3.917","83.3","16.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","201
011","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","201
012","13","3.538","23.1","69.2",".","7.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","201
014","13","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"The Historian's Craft","Course Total","186","3.400","47.8","25.8","10.2","5.9","1.1","2.2","3.2",".","",".",".","",".","",".","3.2","0.5",".","."
"Islam Wrld:MidEast,500-1500","205
002","35","3.239","28.6","8.6","11.4","11.4","2.9",".","2.9","34.3","",".",".","",".","",".",".",".",".","."
"West Intell & Rel Hist to 1500","208
001","38","3.375","26.3","13.2","18.4","2.6",".",".","2.6","36.8","",".",".","",".","",".",".",".",".","."
"","221
001","54","3.694","55.6","18.5","13.0","3.7",".",".",".","9.3","",".",".","",".","",".",".",".",".","."
"","002
221","31","3.481","38.7","22.6","12.9","6.5",".","3.2",".","16.1","",".",".","",".","",".",".",".",".","."
"Explorations in Amer Hist (H)","Course Total","85","3.633","49.4","20.0","12.9","4.7",".","1.2",".","11.8","",".",".","",".","",".",".",".",".","."
"History of Race and Ethnicity","227
001","28","3.667","67.9","17.9","3.6","3.6",".",".","3.6",".","",".",".","",".","",".","3.6",".",".","."
"SE Asian Refugees of Cold War","246
001","35","3.721","57.1","31.4","5.7",".","2.9",".",".",".","",".",".","",".","",".",".",".","2.9","."
"Eastern Europe:Interdis Survey","254
001","26","3.712","65.4","23.1","3.8","3.8","3.8",".",".",".","",".",".","",".","",".",".",".",".","."
"Latin America-Introduction","260
001","18","3.361","33.3","33.3","16.7","5.6","11.1",".",".",".","",".",".","",".","",".",".",".",".","."
"American Legal History to Pres","262
001","16","2.844","18.8","18.8","25.0","12.5","18.8",".","6.3",".","",".",".","",".","",".",".",".",".","."
"War/Race/Relig: Europe & U.S","269
001","53","3.735","71.7","15.1","1.9",".",".",".","3.8","5.7","",".",".","",".","",".",".",".",".","1.9"
"","271
00A","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","271
00B","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Hist Stdy Abrd: European Hist","Course Total","2","3.500",".","50.0",".",".",".",".",".","50.0","",".",".","",".","",".",".",".",".","."
"Africa: Introductory Survey","001
277","24","3.438","33.3","50.0","4.2","4.2","4.2","4.2",".",".","",".",".","",".","",".",".",".",".","."
"Intermediate Honors Seminar","283
001","10","3.550","30.0","50.0","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 247 of 454",""
