"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","","",""
"","170
001","78","3.865","83.3","14.1","1.3",".",".","",".","1.3","",".","",".",".","",".","",".",".",".",".","."
"","170
002","78","3.923","89.7","6.4","2.6","1.3",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Design Practicum","Course Total","156","3.894","86.5","10.3","1.9","0.6",".","",".","0.6","",".","",".",".","",".","",".",".",".",".","."
"Appl Leadership Cmptence in Eg","303
001","33","3.879","87.9","6.1","3.0",".","3.0","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
001","20","3.400","25.0","45.0","20.0","5.0","5.0","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
002","23","3.250","13.0","39.1","30.4","8.7","4.3","",".",".","",".","",".",".","",".","",".","4.3",".",".","."
"","397
003","22","3.818","77.3","9.1","13.6",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
004","22","3.614","59.1","31.8","4.5",".",".","",".","4.5","",".","",".",".","",".","",".",".",".",".","."
"","397
005","26","3.080","15.4","26.9","38.5","3.8","7.7","",".","3.8","",".","",".",".","",".","",".","3.8",".",".","."
"","006
397","24","3.370","4.2","62.5","29.2",".",".","",".",".","",".","",".",".","",".","",".","4.2",".",".","."
"","397
007","26","3.538","30.8","46.2","23.1",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
008","23","3.523","26.1","52.2","13.0","4.3",".","",".",".","",".","",".",".","",".","",".","4.3",".",".","."
"","397
009","22","3.432","18.2","50.0","31.8",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
010","27","3.593","29.6","59.3","11.1",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
011","22","3.341","9.1","54.5","31.8","4.5",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
012","19","3.447","21.1","52.6","21.1","5.3",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
013","21","3.381","19.0","38.1","42.9",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
015","18","3.528","33.3","38.9","27.8",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
016","22","3.909","95.5",".",".",".","4.5","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
017","22","3.773","72.7","18.2","4.5",".","4.5","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","397
018","21","3.881","76.2","23.8",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Engineering Communication","Course Total","380","3.520","36.3","38.4","20.3","1.8","1.6","",".","0.5","",".","",".",".","",".","",".","1.1",".",".","."
"Current Issues in Intl Engr","413
001","3","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","601
001","10","3.800","60.0","40.0",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","601
003","1","",".",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","100.0","."
"","601
004","5","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","601
005","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","601
007","7","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","25","3.893","80.0","16.0",".",".",".","",".",".","",".","",".",".","",".","",".",".",".","4.0","."
"Collaborative Capstone II","941
001","15","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
