"L&S","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"INTL ST
504","Dept. Total","345","3.417","40.9","19.7","11.9","4.3","3.8","1.2","1.7","",".","",".","15.7","",".","0.3","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","2.925","7.1","32.1","14.3","7.1","14.3",".","3.6","",".","",".","21.4","",".",".",".",".",".","."
"Sophomore","","82","3.270","20.7","24.4","17.1","6.1","3.7",".","1.2","",".","",".","26.8","",".",".",".",".",".","."
"Junior","","102","3.384","38.2","13.7","14.7","2.9","4.9","2.9","1.0","",".","",".","20.6","",".","1.0",".",".",".","."
"Senior","","115","3.605","60.0","20.9","5.2","4.3","0.9","0.9","2.6","",".","",".","3.5","",".",".","1.7",".",".","."
"Undergraduates","","327","3.391","38.8","20.5","11.9","4.6","4.0","1.2","1.8","",".","",".","16.2","",".","0.3","0.6",".",".","."
"Special","","16","3.819","75.0","6.3","12.5",".",".",".",".","",".","",".","6.3","",".",".",".",".",".","."
"Graduate","","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","345","3.417","40.9","19.7","11.9","4.3","3.8","1.2","1.7","",".","",".","15.7","",".","0.3","0.6",".",".","."
