"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","","","","",""
"","301
001","114","3.890","87.7","4.4","7.0",".","0.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"","301
002","114","3.816","77.2","13.2","6.1","2.6","0.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"","301
003","106","3.934","90.6","5.7","3.8",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"How People Learn","Course Total","334","3.879","85.0","7.8","5.7","0.9","0.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"Human Dev-Infancy&Childhood","320
001","109","3.876","82.6","12.8","2.8","0.9","0.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"","001
321","79","3.344","27.8","36.7","16.5","10.1","5.1","1.3",".","",".","",".",".","",".","",".","2.5",".",".","."
"","321
002","37","3.514","56.8","18.9","10.8","8.1","2.7",".","2.7","",".","",".",".","",".","",".",".",".",".","."
"Human Develop-Adolescence","Course Total","116","3.399","37.1","31.0","14.7","9.5","4.3","0.9","0.9","",".","",".",".","",".","",".","1.7",".",".","."
"Mind, Brain and Education","326
001","87","3.523","46.0","26.4","18.4","5.7","1.1",".","1.1","","1.1","",".",".","",".","",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","001
331","80","3.649","57.5","23.8","6.3","6.3","1.3","1.3",".","",".","",".",".","",".","",".","1.3","1.3",".","1.3"
"","470
002","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","470
013","11","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","470
025","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","470
028","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","470
029","11","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","470
047","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","470
077","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Research Experience Ed Psych","Course Total","38","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","506
001","34","3.956","94.1","2.9","2.9",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","506
002","63","3.651","73.0","7.9","11.1","4.8",".",".","3.2","",".","",".",".","",".","",".",".",".",".","."
"","506
004","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","506
005","23","3.783","87.0","8.7",".",".",".",".","4.3","",".","",".",".","",".","",".",".",".",".","."
"","506
006","17","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","141","3.798","84.4","5.7","5.7","2.1",".",".","2.1","",".","",".",".","",".","",".",".",".",".","."
"Embodied Cognition & Education","509
001","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Learning Analytics Theory&Prac","525
001","18","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Supervision Practicum","632
001","17","3.971","94.1","5.9",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Social/Emotional Well-being","633
001","17","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Found of Instruct Coaching","640
001","24","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
002","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
006","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
025","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
029","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
031","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
049","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","13","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","7","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","711
002","7","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","711
005","25","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","711
009","12","3.917","83.3","16.7",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","711
013","10","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","711
014","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","711
016","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 97 of 454"
