"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","","",""
"","240
001","203","3.495","45.3","37.4","4.9","6.9","1.5","0.5","3.0","0.5","",".",".","",".","",".",".",".",".","."
"","240
002","131","3.466","45.8","32.8","8.4","5.3","4.6","0.8","2.3",".","",".",".","",".","",".",".",".",".","."
"Intro to Data Modeling I","Course Total","334","3.483","45.5","35.6","6.3","6.3","2.7","0.6","2.7","0.3","",".",".","",".","",".",".",".",".","."
"","301
001","128","2.756","22.7","6.3","21.9","17.2","23.4","5.5","2.3",".","",".",".","",".","",".",".","0.8",".","."
"","002
301","135","2.944","32.6","9.6","20.0","13.3","14.8","5.2","3.7",".","",".",".","",".","",".",".",".",".","0.7"
"","301
003","127","2.776","19.7","15.0","17.3","16.5","22.0","4.7","3.1","0.8","",".",".","",".","",".","0.8",".",".","."
"","301
005","5","2.000","40.0",".",".",".","20.0",".","40.0",".","",".",".","",".","",".",".",".",".","."
"Intro-Statistical Methods","Course Total","395","2.817","25.3","10.1","19.5","15.4","20.0","5.1","3.5","0.3","",".",".","",".","",".","0.3","0.3",".","0.3"
"","303
001","28","3.444","53.6","7.1","28.6",".","3.6",".","3.6","3.6","",".",".","",".","",".",".",".",".","."
"","303
002","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","303
003","79","3.627","59.5","11.4","19.0","3.8",".",".","1.3","5.1","",".",".","",".","",".",".",".",".","."
"R for Statistics I","Course Total","111","3.594","59.5","9.9","20.7","2.7","0.9",".","1.8","4.5","",".",".","",".","",".",".",".",".","."
"","304
001","5","3.500","60.0",".",".",".","20.0",".",".","20.0","",".",".","",".","",".",".",".",".","."
"","304
002","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","304
003","47","3.722","72.3","6.4","12.8",".","2.1","2.1",".","4.3","",".",".","",".","",".",".",".",".","."
"R for Statistics II","Course Total","54","3.716","72.2","5.6","11.1",".","3.7","1.9",".","5.6","",".",".","",".","",".",".",".",".","."
"","305
001","3","4.000","66.7",".",".",".",".",".",".","33.3","",".",".","",".","",".",".",".",".","."
"","305
002","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","305
003","23","3.909","91.3",".",".",".","4.3",".",".","4.3","",".",".","",".","",".",".",".",".","."
"R for Statistics III","Course Total","28","3.923","89.3",".",".",".","3.6",".",".","7.1","",".",".","",".","",".",".",".",".","."
"","309
001","53","3.915","88.7","5.7","5.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","309
002","31","3.903","83.9","12.9","3.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","84","3.911","86.9","8.3","4.8",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","53","3.255","35.8","15.1","26.4","9.4","13.2",".",".",".","",".",".","",".","",".",".",".",".","."
"","311
001","69","3.210","24.6","29.0","30.4","10.1","1.4","1.4","2.9",".","",".",".","",".","",".",".",".",".","."
"","311
003","71","3.423","32.4","31.0","29.6","5.6",".","1.4",".",".","",".",".","",".","",".",".",".",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","140","3.318","28.6","30.0","30.0","7.9","0.7","1.4","1.4",".","",".",".","",".","",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","312
001","56","3.366","44.6","21.4","17.9","5.4","7.1","1.8","1.8",".","",".",".","",".","",".",".",".",".","."
"","324
001","142","3.088","28.9","16.9","25.4","12.0","12.0","4.2","0.7",".","",".",".","",".","",".",".",".",".","."
