"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","",""
"","100
001","48","3.926","85.4","10.4","2.1",".",".",".",".",".","",".",".","",".","",".",".",".","2.1","."
"","100
002","44","3.566","65.9","11.4",".",".",".","4.5","4.5",".","",".",".","",".","",".","2.3",".","11.4","."
"Understanding Dance","Course Total","92","3.765","76.1","10.9","1.1",".",".","2.2","2.2",".","",".",".","",".","",".","1.1",".","6.5","."
"","101
001","27","3.926","88.9","7.4","3.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","101
002","37","3.972","94.6",".","2.7",".",".",".",".","2.7","",".",".","",".","",".",".",".",".","."
"Ballroom Dance I","Course Total","64","3.952","92.2","3.1","3.1",".",".",".",".","1.6","",".",".","",".","",".",".",".",".","."
"Modern Jazz Dance","103
001","26","3.808","80.8",".","19.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Ballet I","105
001","20","3.950","90.0","10.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Ballet II","106
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Contemporary Dance II","108
001","8","3.625","75.0",".","12.5",".","12.5",".",".",".","",".",".","",".","",".",".",".",".","."
"","110
001","27","3.796","74.1","18.5","3.7",".","3.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","110
002","36","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","110
003","20","4.000","90.0",".",".",".",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"","110
010","26","3.880","76.9","15.4","3.8",".",".",".",".",".","",".",".","",".","",".","3.8",".",".","."
"","110
011","38","3.900","78.9","7.9","5.3",".",".",".",".","7.9","",".",".","",".","",".",".",".",".","."
"Workshop in Dance Activity","Course Total","147","3.915","84.4","8.2","2.7",".","0.7",".",".","2.0","",".",".","",".","",".","2.0",".",".","."
"","112
001","18","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","112
002","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Cont Dance Technique&Theory II","Course Total","33","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Hip-Hop Dance Tech&Theory1","115
001","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","118
001","12","3.958","91.7","8.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","118
002","16","3.844","87.5",".","6.3","6.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"African Dance","Course Total","28","3.893","89.3","3.6","3.6","3.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Asian American Movement","121
001","19","3.974","94.7","5.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","126
001","12","3.375","58.3","25.0",".",".","8.3",".","8.3",".","",".",".","",".","",".",".",".",".","."
"","126
002","10","4.000","90.0",".",".",".",".",".",".","10.0","",".",".","",".","",".",".",".",".","."
"Ballet Technique I-B","Course Total","22","3.605","72.7","13.6",".",".","4.5",".","4.5","4.5","",".",".","",".","",".",".",".",".","."
"Somatic Theory and Practices","131
001","22","3.773","81.8","9.1",".",".","9.1",".",".",".","",".",".","",".","",".",".",".",".","."
"","135
001","30","3.717","76.7","6.7","10.0","3.3",".","3.3",".",".","",".",".","",".","",".",".",".",".","."
"","135
002","27","2.981","44.4","18.5","7.4","7.4","7.4",".","14.8",".","",".",".","",".","",".",".",".",".","."
"","135
003","32","3.844","75.0","21.9",".","3.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","135
004","32","3.844","78.1","12.5","9.4",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","135
005","23","4.000","95.7",".",".",".",".",".",".",".","",".",".","",".","",".","4.3",".",".","."
"Pilates Mat I","Course Total","144","3.678","73.6","12.5","5.6","2.8","1.4","0.7","2.8",".","",".",".","",".","",".","0.7",".",".","."
"Pilates Equipment I","136
001","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Dance Production","140
001","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Movemnt as Matl Thru Improv","156
001","22","3.750","86.4","4.5","4.5",".",".",".","4.5",".","",".",".","",".","",".",".",".",".","."
"Intro-Movement Analysis","157
001","22","3.727","90.9",".",".",".","4.5",".","4.5",".","",".",".","",".","",".",".",".",".","."
"Dancing Gender","168
001","77","3.669","72.7","9.1","9.1","2.6","3.9","2.6",".",".","",".",".","",".","",".",".",".",".","."
"","212
001","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","212
002","12","3.542","75.0","8.3","8.3",".",".",".","8.3",".","",".",".","",".","",".",".",".",".","."
