"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","216","3.512","44.9","29.2","15.7","6.9","1.4","0.5","0.9",".","",".",".","",".","",".",".",".","0.5","."
"Intro US Ethnic/Am Ind Studies","102
001","43","3.952","90.7","4.7","2.3",".",".",".",".",".","",".",".","",".","",".","2.3",".",".","."
"Literatures of Native America","172
001","23","3.478","65.2","17.4","8.7",".",".",".","8.7",".","",".",".","",".","",".",".",".",".","."
"Beginner Indigenous Language","303
001","19","4.000","94.7",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","5.3","."
"Beginner Hoocak/Ho-Chunk","308
001","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"American Indians in Film","325
001","35","3.391","60.0","8.6","8.6",".","5.7","2.9","5.7","2.9","",".",".","",".","",".",".",".","5.7","."
"IndigenousEcologicalKnowledges","410
001","22","3.825","72.7","4.5","13.6",".",".",".",".",".","",".",".","",".","",".","9.1",".",".","."
"","450
008","19","3.529","42.1","21.1","15.8","10.5",".",".",".",".","",".",".","",".","",".","10.5",".",".","."
"","450
078","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","20","3.556","45.0","20.0","15.0","10.0",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"American Indian History","490
002","12","3.292","41.7","33.3","8.3","8.3",".",".","8.3",".","",".",".","",".","",".",".",".",".","."
"Soc Work in Am Indian Communit","636
001","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"AMER IND
140","Dept. Total","393","3.585","56.5","20.9","12.0","4.6","1.3","0.5","1.8","0.3","",".",".","",".","",".","1.3",".","1.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","74","3.384","31.1","35.1","18.9","10.8","1.4",".","1.4",".","",".",".","",".","",".","1.4",".",".","."
"Sophomore","","180","3.594","57.2","22.2","12.2","4.4","2.2","0.6","1.1",".","",".",".","",".","",".",".",".",".","."
"Junior","","73","3.764","72.6","15.1","8.2","1.4",".",".","1.4",".","",".",".","",".","",".","1.4",".",".","."
"Senior","","52","3.529","69.2","9.6","9.6","1.9",".","1.9","5.8",".","",".",".","",".","",".","1.9",".",".","."
"Undergraduates","","379","3.577","56.7","21.6","12.4","4.7","1.3","0.5","1.8",".","",".",".","",".","",".","0.8",".",".","."
"Special","","5","***","","","","","","","","","","",".","",".","",".",".",".","80.0","."
"Graduate","","9","4.000","77.8",".",".",".",".",".",".",".","",".",".","",".","",".","22.2",".",".","."
"","Dept. Total","393","3.585","56.5","20.9","12.0","4.6","1.3","0.5","1.8","0.3","",".",".","",".","",".","1.3",".","1.0","."
