"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","95","3.711","72.6","12.6","3.2","9.5","1.1","1.1",".",".","",".",".","",".","",".",".",".",".","."
"Amer Soc: How It Really Works","125","003","97","3.120","32.0","17.5","24.7","8.2","11.3","2.1","3.1",".","",".",".","",".","",".",".",".",".","1.0"
"Criminal Justice in America","131","001","120","2.800","12.5","16.7","25.8","13.3","22.5","4.2","0.8",".","",".",".","",".","",".",".",".","4.2","."
"","134","001","490","3.762","71.8","17.6","6.1","1.8","2.0","0.4","0.2",".","",".",".","",".","",".",".",".",".","."
"","134","004","23","3.682","47.8","34.8","13.0",".",".",".",".",".","",".",".","",".","",".","4.3",".",".","."
"Soc of Race & Ethnicity in US","","Course Total","513","3.760","70.8","18.3","6.4","1.8","1.9","0.4","0.2",".","",".",".","",".","",".","0.2",".",".","."
"The Sociology of Gender","138","001","97","3.623","61.9","19.6","11.3","2.1","3.1","1.0","1.0",".","",".",".","",".","",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","54","3.217","27.8","29.6","25.9","1.9","7.4","3.7","1.9","1.9","",".",".","",".","",".",".",".",".","."
"Population Problems","170","001","498","3.485","44.6","27.7","15.3","6.6","4.2","1.0","0.2",".","",".",".","",".","",".",".","0.4",".","."
"Hnrs Smr:Sociolgl Enterprse","181","001","14","3.821","71.4","21.4","7.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","22","3.548","59.1","13.6","4.5","9.1","9.1",".",".",".","",".",".","",".","",".",".","4.5",".","."
"Intercultural Dialogues","205","001","19","3.658","73.7","15.8",".",".","5.3","5.3",".",".","",".",".","",".","",".",".",".",".","."
"Leadership in ICD","206","001","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Survey of Sociology","210","001","66","3.439","34.8","40.9","16.7","4.5",".",".","3.0",".","",".",".","",".","",".",".",".",".","."
"The Sociological Enterprise","211","001","50","3.350","30.0","34.0","22.0","12.0",".",".","2.0",".","",".",".","",".","",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","68","3.529","67.6","14.7","5.9","2.9","1.5","2.9","4.4",".","",".",".","",".","",".",".",".",".","."
"Food, Culture, and Society","222","001","56","3.509","41.1","28.6","17.9","5.4","3.6",".",".",".","",".",".","",".","",".","1.8","1.8",".","."
"Envir, Nat Resources & Society","248","001","13","3.885","84.6","7.7","7.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Latin America-Introduction","260","001","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Africa: Introductory Survey","277","001","16","3.563","31.3","50.0","18.8",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","320","009","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","320","035","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","320","037","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","320","039","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","320","064","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","320","081","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","320","092","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","320","281","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Research Practicum","","Course Total","10","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","70","3.709","60.0","25.7","5.7","1.4","1.4","1.4",".",".","",".",".","",".","",".","1.4","2.9",".","."
"Stats for Sociologists I","360","001","68","3.493","50.0","19.1","13.2","10.3","5.9",".",".",".","",".",".","",".","",".",".","1.5",".","."
"Stats for Sociologists III","362","001","34","3.235","26.5","35.3","14.7","17.6","2.9",".","2.9",".","",".",".","",".","",".",".",".",".","."
"Data Mgt for Soc Sci Research","365","001","13","3.885","76.9","23.1",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Crime, Gender and Justice","425","001","12","3.000","41.7","8.3","16.7","8.3",".","8.3","8.3",".","",".",".","",".","",".","8.3",".",".","."
"Criminology","441","001","96","3.358","28.1","39.6","12.5","14.6","3.1","1.0",".",".","",".",".","",".","",".","1.0",".",".","."
"Immigration, Crime, Enforcemnt","443","001","20","3.425","45.0","30.0","5.0","15.0",".","5.0",".",".","",".",".","",".","",".",".",".",".","."
"Social Psych: A Sociol Persp","444","001","40","3.375","50.0","17.5","12.5","7.5","10.0",".","2.5",".","",".",".","",".","",".",".",".",".","."
"Juvenile Delinquency","446","001","24","3.313","45.8","33.3","4.2","4.2","4.2",".","8.3",".","",".",".","",".","",".",".",".",".","."
"Human Sexuality","453","001","53","2.894","18.9","18.9","13.2","17.0","30.2",".",".",".","",".",".","",".","",".","1.9",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","Page 328 of 454",""
