"AMN","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","340","3.893","76.5","2.9","2.4","0.6","0.9","",".","",".","16.8","",".",".","",".","",".","",".",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","42","3.852","78.6",".","4.8","2.4",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Sophomore","","64","3.935","82.8","4.7","3.1",".",".","",".","",".","9.4","",".",".","",".","",".","",".",".",".","."
"Junior","","60","3.849","76.7","3.3",".",".","3.3","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"Senior","","160","3.895","74.4","2.5","2.5","0.6","0.6","",".","",".","19.4","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","326","3.890","77.0","2.8","2.5","0.6","0.9","",".","",".","16.3","",".",".","",".","",".","",".",".",".","."
"Special","","11","3.955","63.6","9.1",".",".",".","",".","",".","27.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","3","4.000","66.7",".",".",".",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"","College Total","340","3.893","76.5","2.9","2.4","0.6","0.9","",".","",".","16.8","",".",".","",".","",".","",".",".",".","."
