"LIBRARY & INFORMATION STUDI Section","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","114","3.848","85.1","7.9",".","2.6","1.8","",".","0.9","0.9","",".",".","",".","",".","0.9",".",".","."
"Divides&Differences-Multicultr","202
001","247","3.801","84.6","5.3","5.7","1.2","0.8","",".","2.0",".","",".",".","",".","",".","0.4",".",".","."
"History and Future of Books","350
001","25","3.940","88.0","12.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Digital Information","351
001","145","3.859","88.3","4.1","4.1","0.7","1.4","","1.4",".",".","",".",".","",".","",".",".",".",".","."
"","399
002","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","399
003","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Reading & Research","Course Total","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","461
001","89","3.820","82.0","9.0","5.6","2.2",".","",".","1.1",".","",".",".","",".","",".",".",".",".","."
"","461
002","200","3.905","84.0","13.0","3.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Data Ethics and Policy","Course Total","289","3.873","83.4","11.8","3.8","0.7",".","",".","0.3",".","",".",".","",".","",".",".",".",".","."
"Applied Database Design","464
001","22","3.886","86.4","4.5","9.1",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Interaction Design Studio","470
001","19","3.639","68.4","15.8","5.3",".",".","",".","5.3","5.3","",".",".","",".","",".",".",".",".","."
"","500
001","2","0.000",".",".",".",".",".","",".","100.0",".","",".",".","",".","",".",".",".",".","."
"","500
002","27","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Code and Power","Course Total","29","3.724","93.1",".",".",".",".","",".","6.9",".","",".",".","",".","",".",".",".",".","."
"","501
001","2","4.000","50.0",".",".",".",".","",".",".","50.0","",".",".","",".","",".",".",".",".","."
"","501
002","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","501
003","16","4.000","93.8",".",".",".",".","",".",".","6.3","",".",".","",".","",".",".",".",".","."
"Introduction to Text Mining","Course Total","20","4.000","90.0",".",".",".",".","",".",".","10.0","",".",".","",".","",".",".",".",".","."
"","510
001","5","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","510
002","14","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","510
003","52","3.826","80.8",".","1.9","3.8",".","",".","1.9","1.9","",".",".","",".","",".","5.8","3.8",".","."
"Info Security & Privacy","Course Total","71","3.877","85.9",".","1.4","2.8",".","",".","1.4","1.4","",".",".","",".","",".","4.2","2.8",".","."
"","601
001","9","3.944","88.9","11.1",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","601
002","12","3.955","83.3","8.3",".",".",".","",".",".",".","",".",".","",".","",".","8.3",".",".","."
"Info Perspectives, Contexts","Course Total","21","3.950","85.7","9.5",".",".",".","",".",".",".","",".",".","",".","",".","4.8",".",".","."
"","603
001","14","3.964","92.9","7.1",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","603
002","28","3.750","57.1","35.7","7.1",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Research and Assessment","Course Total","42","3.821","69.0","26.2","4.8",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","612
001","5","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","612
002","11","3.800","72.7",".","18.2",".",".","",".",".",".","",".",".","",".","",".","9.1",".",".","."
"","612
003","2","3.000","50.0",".",".",".","50.0","",".",".",".","",".",".","",".","",".",".",".",".","."
"User Experience Design 2","Course Total","18","3.765","77.8",".","11.1",".","5.6","",".",".",".","",".",".","",".","",".","5.6",".",".","."
"","620
001","25","3.980","96.0","4.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","620
002","13","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","38","3.987","97.4","2.6",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","629
001","9","3.813","77.8",".",".","11.1",".","",".",".",".","",".",".","",".","",".","11.1",".",".","."
"","629
002","20","3.868","80.0","5.0","10.0",".",".","",".",".",".","",".",".","",".","",".","5.0",".",".","."
"Multicultural Lit for Youth","Course Total","29","3.852","79.3","3.4","6.9","3.4",".","",".",".",".","",".",".","",".","",".","6.9",".",".","."
"Lit and Resources for Youth","631
001","12","3.875","75.0","25.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","635
001","8","4.000","87.5",".",".",".",".","",".",".",".","",".",".","",".","",".","12.5",".",".","."
"","635
002","11","4.000","90.9",".",".",".",".","",".",".",".","",".",".","",".","",".","9.1",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","Page 271 of 454",""
