"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","402
002","","35","3.803","68.6","20.0","2.9",".","2.9","",".","",".","",".","",".",".","",".","",".","2.9",".","2.9","."
"","402
006","","10","3.750","50.0","50.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","402
007","","25","3.820","72.0","20.0","8.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Soc Perspectives-Envir Studies","Course Total","","94","3.812","72.3","18.1","5.3","1.1","1.1","",".","",".","",".","",".",".","",".","",".","1.1",".","1.1","."
"Education for Sustainable Cmty","405
001","","22","3.841","81.8","9.1","4.5","4.5",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Preserving Nature","413
001","","41","3.653","56.1","7.3","19.5","4.9",".","",".","",".","",".","",".",".","",".","",".",".","12.2",".","."
"Culture and the Environment","445
001","","2","3.000","50.0",".",".",".","50.0","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Intro-Environmental Health","471
001","","101","3.614","56.4","13.9","26.7","2.0","1.0","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Greeks, Romans, Nat. Env.","488
001","","11","3.864","72.7","27.3",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Ecology of Fishes","510
001","","26","3.365","53.8","3.8","30.8",".","3.8","","7.7","",".","",".","",".",".","",".","",".",".",".",".","."
"","511
001","","4","3.500","25.0","50.0","25.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","511
002","","7","3.071","14.3","28.6","28.6","14.3","14.3","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","11","3.227","18.2","36.4","27.3","9.1","9.1","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Environmental Governance","534
001","","8","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540
001","","6","3.600","33.3","33.3","16.7",".",".","",".","",".","","16.7","",".",".","",".","",".",".",".",".","."
"Dev and Env in Southeast Asia","557
001","","2","3.750","50.0","50.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Assessment-Environ Impact","575
001","","24","3.690","41.7","37.5","8.3",".",".","",".","",".","","4.2","",".",".","",".","",".","8.3",".",".","."
"","600
001","","11","3.909","81.8","18.2",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","600
002","","14","3.929","85.7","14.3",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","600
003","","12","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","600
004","","14","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","600
005","","13","3.846","76.9","15.4","7.7",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Envir Studies Major Capstone","Course Total","","64","3.938","89.1","9.4","1.6",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","","9","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
001","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
024","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
086","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
095","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
104","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
119","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","","9","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","","9","3.444","22.2","44.4","33.3",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Water Res Mgt Pract Pl Smr II","718
001","","10","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Climt Chng, Human & Plan Hlth","739
001","","11","3.864","72.7","27.3",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Energy Analysis & Policy Capst","810
001","","23","3.891","78.3","21.7",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Seminar","900
002","","5","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Limnology & Marine Sci Seminar","911
001","","4","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"CHE Methods Seminar","922
001","","14","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Adv Environ Remote Sensing","956
001","","19","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Environ Sensing Technologies","971
001","","15","3.933","93.3",".","6.7",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
