"STATISTICS","","Section","# 
Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","679","003","11
3.545","72.7","","18.2","",".","",".","",".","",".","","9.1",".","",".",".","",".",".","",".",".",".","."
"","679","004","12
3.958","91.7","","8.3","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special Topics in Statistics","","Course Total","47
3.675","63.8","","29.8","","4.3","",".","",".","",".","","2.1",".","",".",".","",".",".","",".",".",".","."
"","682","114","1
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","682","165","1
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior Honors Thesis","","Course Total","2
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699","038","1
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699","050","1
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699","114","2
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699","120","1
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699","124","7
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699","227","1
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699","270","1
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699","299","2
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Directed Study","","Course Total","16
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Applied Time Series Anal I","701","001","17
3.882","94.1","",".","",".","",".","","5.9","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Mathematical Statistics","710","001","25
3.900","80.0","","20.0","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Nonlinear Optimization I","726","001","8
3.625","50.0","","37.5","",".","","12.5","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Theory of Probability II","734","001","2
3.000",".","","50.0","",".","","50.0","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Survival Analysis Thry & Mthds","741","001","16
3.875","87.5","",".","","12.5","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Stat Mthds-Medical Image Anlys","768","001","3
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775","001","31
4.000","96.8","",".","",".","",".","",".","",".","",".","3.2","",".",".","",".",".","",".",".",".","."
"Topics in Probability","833","001","2
4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Thry&Appl-Regres&Anal VarII","850","001","28
3.607","39.3","","42.9","","17.9","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Statistical Methods-Molec Biol","877","001","13
3.885","92.3","",".","",".","","7.7","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","990","038","3",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","043","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","044","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","055","3",".","",".","",".","",".","",".","",".","",".","66.7","",".",".","",".","33.3","",".",".",".","."
"","990","068","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","078","5",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","102","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","110","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","112","3",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","114","2",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","118","3",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","120","3",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","160","6",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","165","5",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","192","3",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","194","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","227","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990","240","1",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 338 of 454",""
