"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"International Business","200
001","149","3.178","24.2","29.5","25.5","12.8","3.4","2.7","2.0","",".","",".",".","",".","",".","",".",".",".","."
"Intercultural Communctn in Bus","320
001","20","3.800","75.0","15.0","5.0","5.0",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Global Issues in Management","403
001","8","3.375","12.5","62.5","12.5","12.5",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Global Marketing Strategy","420
001","20","3.600","30.0","60.0","10.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Multinational Bus Finance","445
001","9","3.167","11.1","11.1","77.8",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","765
025","31","3.581","41.9","45.2","9.7",".",".","3.2",".","",".","",".",".","",".","",".","",".",".",".","."
"","765
041","23","3.957","95.7",".","4.3",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","54","3.682","64.8","25.9","7.4",".",".","1.9",".","",".","",".",".","",".","",".","",".",".",".","."
"","766
030","30","3.983","96.7","3.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","766
040","22","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Global Business Management","Course Total","52","3.990","98.1","1.9",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"INTL BUS
235","Dept. Total","312","3.419","46.5","25.6","17.0","6.7","1.6","1.6","1.0","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","33","2.879","6.1","36.4","30.3","12.1","6.1","3.0","6.1","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","53","3.160","22.6","26.4","30.2","13.2","3.8","1.9","1.9","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","103","3.529","43.7","32.0","14.6","7.8","1.0","1.0",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","189","3.312","31.2","31.2","21.7","10.1","2.6","1.6","1.6","",".","",".",".","",".","",".","",".",".",".","."
"Special","","16","2.969",".","31.3","50.0","12.5",".","6.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","107","3.846","80.4","15.0","3.7",".",".","0.9",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","312","3.419","46.5","25.6","17.0","6.7","1.6","1.6","1.0","",".","",".",".","",".","",".","",".",".",".","."
