"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","","",""
"","103
001","250","3.016","28.4","10.8","30.0","10.0","11.2","4.4","2.4","",".","",".",".","",".","",".","2.0",".",".","0.8"
"","103
002","260","2.907","21.9","13.8","26.5","14.6","15.8","5.8","1.2","",".","",".",".","",".","",".",".",".","0.4","."
"General Chemistry I","Course Total","510","2.960","25.1","12.4","28.2","12.4","13.5","5.1","1.8","",".","",".",".","",".","",".","1.0",".","0.2","0.4"
"","104
001","277","2.919","25.3","13.4","25.6","12.3","14.8","6.9","1.8","",".","",".",".","",".","",".",".",".",".","."
"","104
002","250","2.990","23.6","15.2","28.0","14.0","14.0","4.4","0.8","",".","",".",".","",".","",".",".",".",".","."
"","104
003","252","2.913","26.2","10.3","25.4","12.7","17.5","7.5","0.4","",".","",".",".","",".","",".",".",".",".","."
"","004
104","262","2.981","25.6","14.5","25.6","10.7","17.6","5.3","0.4","",".","",".",".","",".","",".","0.4",".",".","."
"","005
104","284","2.986","25.4","13.7","25.4","11.6","19.4","3.2","0.7","",".","",".",".","",".","",".","0.4",".","0.4","."
"","104
006","255","2.935","23.5","13.7","25.5","11.8","19.6","5.1","0.4","",".","",".",".","",".","",".",".",".",".","0.4"
"General Chemistry II","Course Total","1580","2.954","24.9","13.5","25.9","12.2","17.2","5.4","0.8","",".","",".",".","",".","",".","0.1",".","0.1","0.1"
"Chemistry in Our World","108
001","158","2.899","18.4","21.5","24.7","13.9","15.8","0.6","5.1","",".","",".",".","",".","",".",".",".",".","."
"Chemical Principles II","116
001","24","3.583","50.0","25.0","16.7","8.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Entering Research I","260
001","11","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
009","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
