"","ATMOSPHERIC & OCEANIC SCIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","","","",""
"Weather and Climate","100","001","272","2.867","14.7","17.6","20.6","26.5","12.5","3.7","1.1","0.4","",".",".","",".","",".","0.4","2.6",".","."
"Weather and Climate","101","001","99","2.828","19.2","8.1","25.3","28.3","13.1","5.1","1.0",".","",".",".","",".","",".",".",".",".","."
"Survey of Oceanography","105","001","42","3.190","21.4","38.1","9.5","19.0","11.9",".",".",".","",".",".","",".","",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","19","3.053","42.1","21.1","15.8",".","5.3","5.3","10.5",".","",".",".","",".","",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","17","3.531","35.3","29.4","29.4",".",".",".",".",".","",".",".","",".","",".","5.9",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","14","3.929","85.7","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","5","3.667","40.0",".","20.0",".",".",".",".","20.0","",".",".","",".","",".",".",".","20.0","."
"Physics-Atmosphere&Ocean II","340","001","14","3.071","28.6","21.4","21.4","7.1","14.3","7.1",".",".","",".",".","",".","",".",".",".",".","."
"Introduction to Air Quality","355","001","20","3.342","30.0","30.0","25.0","5.0",".","5.0",".",".","",".",".","",".","",".","5.0",".",".","."
"Topics in Meteorology","401","001","5","3.800","60.0","40.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Meteorological Measurements","404","001","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Radar & Satellite Meteorology","441","001","16","3.906","87.5","6.3","6.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Tropical Meteorology","522","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Climatological Analysis","575","001","24","3.896","79.2","20.8",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","19","3.684","42.1","52.6","5.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","9","3.722","55.6","33.3","11.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682","005","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682","037","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682","039","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","","Course Total","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","699","034","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Mesoscale Meteorology","753","001","13","3.846","69.2","30.8",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Boundary Layer Meteorology","773","001","9","3.389","22.2","33.3","44.4",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics-Theoretical Meteor","801","001","4","3.333","25.0",".","50.0",".",".",".",".","25.0","",".",".","",".","",".",".",".",".","."
"","990","001","2","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","005","5","",".",".",".",".",".",".",".","20.0","",".",".","",".","80.0","",".",".",".","."
"","990","009","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","011","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","016","5","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","019","3","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","020","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","030","3","",".",".",".",".",".",".",".","33.3","",".",".","",".","66.7","",".",".",".","."
"","990","034","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","036","2","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","037","10","",".",".",".",".",".",".",".","10.0","",".",".","",".","90.0","",".",".",".","."
"","990","063","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Research","","Course Total","37","",".",".",".",".",".",".",".","37.8","",".",".","",".","62.2","",".",".",".","."
"","999","005","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","Page 284 of 454",""
