"HORTICULTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","","","","","",""
"Propagation of Hort Plants","227","001","","12","2.667","8.3","8.3","33.3","25.0","16.7","8.3",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","299","009","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Plant Nutrition Management","326","001","","10","2.850","10.0","10.0","50.0",".","30.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Greenhouse Cultivation","334","001","","49","3.367","49.0","20.4","14.3","8.2","2.0","2.0","4.1",".","",".",".","",".","",".",".",".",".","."
"","335","001","","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".","",".",".","",".","",".",".",".",".","."
"","335","002","","20","3.825","90.0","5.0",".",".",".","5.0",".",".","",".",".","",".","",".",".",".",".","."
"Greenhouse Cultivation Lab","","Course Total","","37","3.797","83.8","8.1","2.7",".","2.7","2.7",".",".","",".",".","",".","",".",".",".",".","."
"Plant Breeding&Biotechnolgy","338","001","","8","3.813","62.5","37.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Fruit Crop Production","345","001","","32","3.226","28.1","37.5","6.3","12.5","6.3","6.3",".",".","",".",".","",".","",".","3.1",".",".","."
"GM Crops:Sci,Reg,Controversy","360","001","","12","3.458","25.0","41.7","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Organic Agriculture","367","001","","5","3.900","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Colloquium-Organic Agriculture","372","001","","21","3.925","85.7","4.8","4.8",".",".",".",".","4.8","",".",".","",".","",".",".",".",".","."
"Special Topics","375","001","","41","3.738","73.2","12.2","7.3",".","2.4","2.4",".",".","",".",".","",".","",".",".",".","2.4","."
"Food and Seed Sovereignty","380","001","","48","3.359","45.8","16.7","16.7","10.4",".","4.2","2.1","2.1","",".",".","",".","",".",".",".","2.1","."
"Coord Intrnshp/Cooprtv Educ","399","001","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Stat Meth for Bioscience II","572","001","","4","3.625","25.0","75.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","016","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","019","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","035","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","039","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","040","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","044","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Problems","","Course Total","","8","3.933","87.5","12.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Select Thry-Quant Traits","812","001","","4","3.167",".","50.0",".","25.0",".",".",".","25.0","",".",".","",".","",".",".",".",".","."
"Seminar","910","001","","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Seminar-Plant Breeding","957","001","","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","990","008","","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","009","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","019","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","022","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","023","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","035","","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","039","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","040","","5","",".",".",".",".",".",".",".","20.0","",".",".","",".","80.0","",".",".",".","."
"","990","041","","3","",".",".",".",".",".",".",".","33.3","",".",".","",".","66.7","",".",".",".","."
"","990","042","","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","043","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","044","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Research","","Course Total","","33","",".",".",".",".",".",".",".","78.8","",".",".","",".","21.2","",".",".",".","."
