"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEBREW-BIBLICAL","Section","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"441
HEBR-BIB","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Biblical Texts, Poetry","514
001","1","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Adv Near Eastern Languages","700
001","1","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Independent Study","799
021","1","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"Research and Thesis","990
021","2","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"HEBR-BIB
441","Dept. Total","5","4.000","40.0","",".","",".","",".","",".","",".","",".","60.0","",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"441
HEBR-BIB","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","3","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","5","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
