"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","","8","3.563","37.5","50.0",".","12.5",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","101
002","","11","3.682","45.5","45.5","9.1",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","101
003","","14","3.679","57.1","35.7",".",".","7.1",".",".","",".","",".",".","",".","",".","",".",".",".","."
"First Semester German","Course Total","","33","3.652","48.5","42.4","3.0","3.0","3.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
001","","9","3.500","66.7","11.1","11.1",".",".","11.1",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
002","","15","3.467","66.7","6.7","6.7","6.7","6.7","6.7",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
003","","8","3.500","37.5","50.0",".",".","12.5",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","102
004","","17","3.382","35.3","29.4","23.5",".","11.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Second Semester German","Course Total","","49","3.449","51.0","22.4","12.2","2.0","8.2","4.1",".","",".","",".",".","",".","",".","",".",".",".","."
"Second Semester Dutch","112
001","","3","3.667","33.3","66.7",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","203
001","","17","3.324","17.6","47.1","17.6","17.6",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","203
002","","10","3.300","50.0","30.0",".","10.0",".",".","10.0","",".","",".",".","",".","",".","",".",".",".","."
"Third Semester German","Course Total","","27","3.315","29.6","40.7","11.1","14.8",".",".","3.7","",".","",".",".","",".","",".","",".",".",".","."
"","204
001","","7","3.429","28.6","28.6","42.9",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","204
002","","10","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","204
003","","11","3.909","90.9",".","9.1",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Fourth Semester German","Course Total","","28","3.821","78.6","7.1","14.3",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Dutch","214
001","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","249
001","","12","3.750","75.0","8.3","8.3","8.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","249
002","","10","3.150","30.0","30.0","30.0",".",".",".","10.0","",".","",".",".","",".","",".","",".",".",".","."
"Intermed German-Speak & Listen","Course Total","","22","3.477","54.5","18.2","18.2","4.5",".",".","4.5","",".","",".",".","",".","",".","",".",".",".","."
"","258
001","","10","3.750","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","258
002","","18","3.778","61.1","33.3","5.6",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Intermediate German-Reading","Course Total","","28","3.768","57.1","39.3","3.6",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","262
001","","7","3.929","85.7","14.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","262
002","","10","3.950","90.0","10.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Intermediate German-Writing","Course Total","","17","3.941","88.2","11.8",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Nazi Culture","272
001","","76","3.623","56.6","21.1","11.8","3.9","1.3",".","1.3","","2.6","",".",".","",".","",".","","1.3",".",".","."
"Kafka and the Kafkaesque","275
001","","29","3.448","69.0","3.4","10.3","10.3",".",".","6.9","",".","",".",".","",".","",".","",".",".",".","."
"","276
001","","43","3.826","74.4","20.9","2.3",".","2.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","276
002","","17","3.882","76.5","23.5",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Spec Tops in Ger & World Lit/s","Course Total","","60","3.842","75.0","21.7","1.7",".","1.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Topics in German Culture","278
001","","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Intensive (Honors) German","285
001","","17","3.971","94.1","5.9",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Topics-German Linguistics","352
001","","17","3.676","70.6","11.8","5.9","5.9","5.9",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Topics in German Literature","362
001","","15","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","372
001","","20","3.975","95.0","5.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","372
002","","11","3.800","72.7",".","18.2",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","9.1"
"","372
003","","15","3.833","80.0","13.3",".","6.7",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
