"L&S","","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"ILS
Dept. Total
500","572","3.603","59.8","16.8","8.7","1.4","2.4","0.7","2.1","",".","",".","7.2","0.2","",".","0.5",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","66","3.466","48.5","16.7","7.6","1.5","7.6","1.5",".","",".","",".","15.2",".","",".",".",".",".","."
"Sophomore","304","3.650","63.8","13.8","7.6","1.0","1.6","0.3","2.6","",".","",".","8.9","0.3","",".",".",".",".","."
"Junior","128","3.558","53.9","24.2","10.2","2.3","2.3","0.8","1.6","",".","",".","3.1",".","",".","1.6",".",".","."
"Senior","71","3.574","63.4","15.5","12.7","1.4","1.4","1.4","2.8","",".","",".",".",".","",".","1.4",".",".","."
"Undergraduates","569","3.602","59.8","16.7","8.8","1.4","2.5","0.7","2.1","",".","",".","7.2","0.2","",".","0.5",".",".","."
"Special","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Graduate","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Dept. Total","572","3.603","59.8","16.8","8.7","1.4","2.4","0.7","2.1","",".","",".","7.2","0.2","",".","0.5",".",".","."
