"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","","","","","",""
"TESOL: Pedagogical Grammar I","613
001","","15","",".",".",".",".","",".",".","",".",".","",".","100.0","",".","",".",".",".",".","."
"TESOL: Pedagogical Grammar II","614
001","","15","",".",".",".",".","",".",".","",".",".","",".","100.0","",".","",".",".",".",".","."
"TESOL:Teach Listening&Speaking","615
001","","16","",".",".",".",".","",".",".","",".",".","",".","100.0","",".","",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672
001","","3","3.667","66.7",".","33.3",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Honors Project","680
075","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","695
001","","8","3.625","87.5",".",".",".","",".","12.5","",".",".","",".",".","",".","",".",".",".",".","."
"","695
002","","9","3.833","66.7","33.3",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","695
003","","10","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","695
004","","8","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Directed Creative Writing","Course Total","","35","3.871","88.6","8.6",".",".","",".","2.9","",".",".","",".",".","",".","",".",".",".",".","."
"","699
090","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
095","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
114","","2","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
116","","2","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
131","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Perspectives on Literacy","702
001","","8","3.813","75.0","12.5","12.5",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special Topics-Compositn Thry","706
001","","10","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Eng Phonology","709
001","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Second Lang Acquisition","715
001","","6","3.917","83.3","16.7",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate Poetry Workshop","782
001","","8","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","785
119","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","785
136","","9","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","785
137","","2","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"MFA Thesis","Course Total","","12","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"One-credit Seminar","795
001","","8","",".",".",".",".","",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","799
062","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
094","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
105","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
119","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
130","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
135","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
136","","4","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","799
139","","2","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Independent Reading","Course Total","","12","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","804
001","","6","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","804
002","","8","3.938","87.5","12.5",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Topics in Early Modern Lit","Course Total","","14","3.964","92.9","7.1",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Topics in 18th-Century Lit","805
001","","7","4.000","85.7",".",".",".","",".",".","",".",".","",".",".","",".","",".","14.3",".",".","."
"","816
001","","3","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","816
002","","13","3.792","61.5","23.1","7.7",".","",".",".","",".",".","",".",".","",".","",".","7.7",".",".","."
"Ethnic and Multicultural Lit","Course Total","","16","3.833","68.8","18.8","6.3",".","",".",".","",".",".","",".",".","",".","",".","6.3",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 229 of 454",""
