"ASIAN LANG & CULTURE: LANG Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","","",""
"379
001
Business Chinese","24","3.542","62.5","25.0",".",".","8.3",".","4.2",".","",".",".","",".","",".",".",".",".","."
"406
001
Eighth Semester Korean","5","3.800","60.0","40.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"422
001","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"422
003","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"422
004","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"422
005","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Course Total
8th Semester Asian Language","5","4.000","80.0",".",".",".",".",".",".","20.0","",".",".","",".","",".",".",".",".","."
"452
001
Advanced Japanese: AV Media","20","3.850","85.0","10.0",".",".","5.0",".",".",".","",".",".","",".","",".",".",".",".","."
"454
001
Advanced Chinese through Media","19","3.947","89.5","10.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"475
001","13","3.667","46.2","30.8","15.4",".",".",".",".","7.7","",".",".","",".","",".",".",".",".","."
"475
002","10","3.800","70.0","20.0","10.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Course Total
Adv Topics: Asian Translation","23","3.727","56.5","26.1","13.0",".",".",".",".","4.3","",".",".","",".","",".",".",".",".","."
"560
001
Adv. Reading in Asian Language","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"ASIALANG
Dept. Total
186","672","3.687","67.7","16.8","6.5","2.8","2.8","0.3","1.0","1.6","",".",".","",".","",".","0.3",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","52","3.383","50.0","21.2","13.5","5.8","3.8",".","5.8",".","",".",".","",".","",".",".",".",".","."
"Sophomore","167","3.710","71.3","12.0","8.4","3.6","3.0",".","0.6","0.6","",".",".","",".","",".","0.6",".",".","."
"Junior","140","3.700","67.1","20.0","5.7","2.9","3.6","0.7",".",".","",".",".","",".","",".",".",".",".","."
"Senior","241","3.726","71.0","18.7","3.7","2.5","2.5","0.4","0.8",".","",".",".","",".","",".","0.4",".",".","."
"Undergraduates","600","3.683","68.3","17.3","6.3","3.2","3.0","0.3","1.0","0.2","",".",".","",".","",".","0.3",".",".","."
"Special","31","3.518","48.4","6.5","9.7",".","3.2",".","3.2","29.0","",".",".","",".","",".",".",".",".","."
"Graduate","40","3.835","72.5","17.5","7.5",".",".",".",".","2.5","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","672","3.687","67.7","16.8","6.5","2.8","2.8","0.3","1.0","1.6","",".",".","",".","",".","0.3",".",".","."
