"ENGR PROFESSIONAL DEVELO Section","","","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","","","","","",""
"","275","001","","13","3.923","84.6","15.4",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","275","002","","13","3.923","84.6","15.4",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","275","003","","17","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","275","004","","13","3.885","84.6","7.7","7.7",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","275","005","","13","3.885","84.6","7.7","7.7",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","275","006","","16","3.938","93.8",".","6.3",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Technical Presentations","","Course Total","","85","3.929","89.4","7.1","3.5",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Tech Communications Intrshp","398","001","","5","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518","001","","34","3.985","97.1","2.9",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Engr Economics & Management","611","001","","21","3.857","76.2","19.0","4.8",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Technical Project Management","612","001","","23","3.739","78.3","17.4",".",".","",".",".","4.3",".","",".",".","",".","",".",".",".",".","."
"Mktg for Tech Professionals","614","001","","29","3.948","93.1","3.4","3.4",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Communicating Technical Info","617","001","","16","3.750","50.0","50.0",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Appl Ldrshp&Mngmt of Engr Orgs","618","001","","31","3.984","96.8","3.2",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Powertrain Systems & Controls","629","002","","20","3.650","75.0","15.0",".","5.0","",".",".","5.0",".","",".",".","",".","",".",".",".",".","."
"Engine Design III","630","001","","4","3.875","75.0","25.0",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Polymer Characterization","637","001","","10","3.833","60.0","30.0",".",".","",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"Plastic Recycling & Sustain","639","001","","9","3.938","77.8","11.1",".",".","",".",".",".","11.1","",".",".","",".","",".",".",".",".","."
"Electric Machines","645","001","","15","3.654","40.0","33.3","13.3",".","",".",".",".","13.3","",".",".","",".","",".",".",".",".","."
"Sustainable Systems Capstone","669","003","","4","3.625","25.0","75.0",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","690","001","","11","3.727","63.6","27.3",".","9.1","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","690","003","","9","3.875","66.7","22.2",".",".","",".",".",".",".","",".",".","",".","",".",".",".","11.1","."
"Special Topics in E P D","","Course Total","","20","3.804","65.0","25.0",".","5.0","",".",".",".",".","",".",".","",".","",".",".",".","5.0","."
"Independent Study","699","003","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Change Management","706","001","","26","3.820","80.8","11.5",".",".","",".","3.8",".",".","",".",".","",".","",".",".","3.8",".","."
"Marketing for Non-Marketers","782","001","","12","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Leading Teams","783","001","","18","3.972","94.4","5.6",".",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
