"PHARMACY","Section","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Exploring Pharmacy II","126
001","34","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","490
001","10","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","490
002","12","3.917","91.7",".","8.3","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Selected Topics in Pharmacy","Course Total","22","3.969","95.5",".","4.5","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Dangerous Drugs","563
002","48","3.936","91.7","4.2",".","",".","2.1","",".","",".","2.1","",".",".","",".","",".","",".",".",".","."
"Appropriate Use of Abused Drug","640
001","31","3.774","61.3","32.3","6.5","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Cannabinoids","674
001","2","3.500",".","100.0",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"CNS Drug Principles II","771
001","21","3.714","47.6","47.6","4.8","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"PHARMACY
726","Dept. Total","158","3.869","81.0","15.2","2.5","",".","0.6","",".","",".","0.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","18","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","38","3.952","94.7","5.3",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","16","4.000","93.8",".",".","",".",".","",".","",".","6.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","49","3.816","71.4","24.5","2.0","",".","2.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","50","3.848","76.0","18.0","6.0","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","55","3.847","76.4","18.2","5.5","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","158","3.869","81.0","15.2","2.5","",".","0.6","",".","",".","0.6","",".",".","",".","",".","",".",".",".","."
