"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PORTUG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","7","2.667","28.6",".","14.3","28.6",".","",".","14.3","",".","",".",".","",".","",".","14.3",".",".","."
"Junior","","9","3.683","66.7","11.1","22.2",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","24","3.561","58.3","16.7","12.5","8.3","4.2","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","42","3.362","54.8","11.9","14.3","9.5","2.4","",".","4.8","",".","",".",".","",".","",".","2.4",".",".","."
"Special","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","24","3.980","95.8","4.2",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
