"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"Hum/An Relatn:Bio&Phils Iss","335
001","","43","3.310","16.3","44.2","23.3","11.6","2.3",".","",".","",".",".",".","",".","",".",".",".","2.3","."
"Parasitology","350
001","","34","3.250","35.3","17.6","29.4","2.9","11.8","2.9","",".","",".",".",".","",".","",".",".",".",".","."
"","400
001","","7","3.571","71.4",".",".","28.6",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","400
002","","13","3.385","30.8","30.8","30.8",".","7.7",".","",".","",".",".",".","",".","",".",".",".",".","."
"","400
003","","18","3.500","61.1",".","27.8",".","11.1",".","",".","",".",".",".","",".","",".",".",".",".","."
"","400
004","","17","3.882","94.1",".",".",".","5.9",".","",".","",".",".",".","",".","",".",".",".",".","."
"","400
005","","33","3.333","33.3","27.3","21.2","9.1","9.1",".","",".","",".",".",".","",".","",".",".",".",".","."
"","400
006","","1","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"Topics in Biology","Course Total","","89","3.474","53.9","14.6","18.0","5.6","7.9",".","",".","",".",".",".","",".","",".",".",".",".","."
"Evolutionary Biology","410
001","","32","3.438","53.1","15.6","15.6","3.1","9.4","3.1","",".","",".",".",".","",".","",".",".",".",".","."
"Behavioral Ecology","425
001","","39","2.397","15.4","12.8","23.1","5.1","15.4","20.5","","7.7","",".",".",".","",".","",".",".",".",".","."
"General Ecology","460
001","","29","2.690","20.7","6.9","31.0","6.9","20.7","10.3","","3.4","",".",".",".","",".","",".",".",".",".","."
"Plant-Insect Interactions","473
001","","7","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"Undergrad Neurobiology Seminar","500
001","","141","3.918","95.7","1.4","0.7","0.7",".",".","","1.4","",".",".",".","",".","",".",".",".",".","."
"Ecology of Fishes","510
001","","71","3.268","42.3","8.5","35.2",".","9.9","2.8","","1.4","",".",".",".","",".","",".",".",".",".","."
"","511
001","","19","3.289","36.8","21.1","26.3","5.3","5.3","5.3","",".","",".",".",".","",".","",".",".",".",".","."
"","511
002","","16","3.188","31.3","31.3","6.3","6.3","25.0",".","",".","",".",".",".","",".","",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","35","3.243","34.3","25.7","17.1","5.7","14.3","2.9","",".","",".",".",".","",".","",".",".",".",".","."
"Ornithology","520
001","","48","3.464","35.4","27.1","18.8","4.2",".",".","","2.1","","12.5",".",".","",".","",".",".",".",".","."
"","521
001","","10","3.700","70.0","10.0","10.0","10.0",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","521
002","","11","3.800","72.7","9.1",".","9.1",".",".","",".","",".","9.1",".","",".","",".",".",".",".","."
"","521
003","","15","3.600","53.3","26.7","13.3",".","6.7",".","",".","",".",".",".","",".","",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","36","3.686","63.9","16.7","8.3","5.6","2.8",".","",".","",".","2.8",".","",".","",".",".",".",".","."
"Comparatv&Evolutionry Physiol","611
001","","67","2.992","14.9","29.9","16.4","10.4","22.4","1.5","",".","","1.5",".",".","",".","",".","3.0",".",".","."
"","612
001","","21","3.500","33.3","42.9","9.5","4.8","4.8",".","",".","",".",".",".","",".","",".","4.8",".",".","."
"","612
002","","21","3.524","47.6","28.6","9.5","9.5","4.8",".","",".","",".",".",".","",".","",".",".",".",".","."
"Comparative Physiology Lab","Course Total","","42","3.512","40.5","35.7","9.5","7.1","4.8",".","",".","",".",".",".","",".","",".","2.4",".",".","."
"Neuroethology Seminar","620
001","","22","3.795","81.8","13.6",".",".",".","4.5","",".","",".",".",".","",".","",".",".",".",".","."
"Neurodevelopmental Disease","655
001","","26","3.712","80.8","3.8","11.5",".",".",".","","3.8","",".",".",".","",".","",".",".",".",".","."
"Historical Ecology","672
001","","3","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"Internship in Ecology","677
001","","10","3.950","90.0","10.0",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","682
005","","1","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","682
011","","1","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","682
064","","1","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","682
085","","1","",".",".",".",".",".",".","",".","",".",".",".","",".","",".","100.0",".",".","."
"","682
109","","1","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","682
110","","1","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","682
121","","1","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","682
131","","1","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","682
132","","1","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
"","682
133","","1","4.000","100.0",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".",".","."
