"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Skills for Business Analysis","106
001","850","",".",".",".",".",".",".",".","",".","",".","98.8","0.6","",".","",".","0.1",".","."
"","110
001","24","2.792","54.2",".","12.5",".","8.3","8.3","16.7","",".","",".",".",".","",".","",".",".",".","."
"","110
100","14","3.821","85.7","7.1",".",".","7.1",".",".","",".","",".",".",".","",".","",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","38","3.171","65.8","2.6","7.9",".","7.9","5.3","10.5","",".","",".",".",".","",".","",".",".",".","."
"Business Law","001
301","442","3.059","22.2","17.4","29.2","21.0","6.1","3.2","0.7","",".","",".",".",".","",".","",".",".","0.2","."
"","302
001","42","3.798","69.0","21.4","9.5",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","302
002","18","3.472","33.3","33.3","27.8","5.6",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","60","3.700","58.3","25.0","15.0","1.7",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"Business Analytics I","306
001","356","3.096","18.0","15.2","45.5","10.4","8.4",".","0.8","",".","",".",".",".","",".","","1.7",".",".","."
"","307
001","84","2.881","2.4","28.6","29.8","23.8","14.3","1.2",".","",".","",".",".",".","",".","",".",".",".","."
"","307
002","93","3.027","14.0","30.1","23.7","16.1","14.0","2.2",".","",".","",".",".",".","",".","",".",".",".","."
"","307
003","72","2.917","11.1","26.4","23.6","18.1","18.1","2.8",".","",".","",".",".",".","",".","",".",".",".","."
"","307
004","98","3.168","20.4","25.5","28.6","18.4","7.1",".",".","",".","",".",".",".","",".","",".",".",".","."
"","307
005","97","3.005","16.5","20.6","26.8","19.6","16.5",".",".","",".","",".",".",".","",".","",".",".",".","."
"Business Analytics II","Course Total","444","3.008","13.3","26.1","26.6","19.1","13.7","1.1",".","",".","",".",".",".","",".","",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
001","216","3.107","17.6","25.0","32.4","18.5","3.2","1.4","1.4","","0.5","",".",".",".","",".","",".",".",".","."
"","311
001","91","3.176","29.7","26.4","22.0","11.0","5.5","2.2","3.3","",".","",".",".",".","",".","",".",".",".","."
"","002
311","90","3.161","18.9","36.7","20.0","17.8","2.2","3.3","1.1","",".","",".",".",".","",".","",".",".",".","."
"","003
311","93","3.177","30.1","26.9","17.2","8.6","12.9","4.3",".","",".","",".",".",".","",".","",".",".",".","."
"","311
004","88","3.176","15.9","36.4","28.4","12.5","3.4","3.4",".","",".","",".",".",".","",".","",".",".",".","."
"Mgmt & Mrktg Non-Bus Majors","Course Total","362","3.173","23.8","31.5","21.8","12.4","6.1","3.3","1.1","",".","",".",".",".","",".","",".",".",".","."
"Intercultural Communctn in Bus","320
001","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
001","18","3.889","77.8","22.2",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","002
360","16","3.438","31.3","50.0","12.5",".",".","6.3",".","",".","",".",".",".","",".","",".",".",".","."
"","360
003","18","3.861","72.2","27.8",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
004","17","3.588","29.4","58.8","11.8",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
005","17","3.912","82.4","17.6",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
006","18","3.417","33.3","50.0","11.1",".",".",".","5.6","",".","",".",".",".","",".","",".",".",".","."
"","360
007","18","3.583","38.9","38.9","22.2",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
008","18","3.500","33.3","44.4","11.1","11.1",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
009","18","3.889","77.8","22.2",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
010","18","3.611","33.3","55.6","11.1",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
011","18","3.528","22.2","61.1","16.7",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
012","17","3.765","58.8","35.3","5.9",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
013","17","3.471","41.2","47.1","5.9",".",".",".","5.9","",".","",".",".",".","",".","",".",".",".","."
"","360
014","17","3.647","35.3","58.8","5.9",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
015","15","3.267","33.3","40.0","6.7","13.3",".",".","6.7","",".","",".",".",".","",".","",".",".",".","."
"","360
016","17","3.735","52.9","41.2","5.9",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
017","18","3.706","50.0","33.3","11.1",".",".",".",".","",".","",".",".",".","",".","",".","5.6",".","."
"","360
018","18","3.694","61.1","22.2","11.1","5.6",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
019","18","3.806","66.7","27.8","5.6",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
020","18","3.500","33.3","55.6","5.6",".",".","5.6",".","",".","",".",".",".","",".","",".",".",".","."
"","360
021","17","3.676","35.3","64.7",".",".",".",".",".","",".","",".",".",".","",".","",".",".",".","."
"","360
022","15","3.233","20.0","53.3","13.3","6.7",".",".","6.7","",".","",".",".",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","Page 47 of 454"
